trade_date,ts_code,name,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount
20260520,000417.SZ,合百集团,U,9.53,9.53,7.79,0,282265258.0,93118,93118,282265258.0
20260520,000518.SZ,四环生物,U,3.41,3.41,2.79,2,28036638.0,93612,94751,28036638.0
20260520,000695.SZ,滨海能源,U,16.19,16.19,13.25,0,71550069.0,111457,111457,71550069.0
20260520,000716.SZ,黑芝麻,U,5.47,5.47,4.47,0,71290258.0,93903,93903,71290258.0
20260520,000809.SZ,和展能源,U,4.37,4.37,3.57,0,77009451.0,92500,92500,77009451.0
20260520,000859.SZ,国风新材,U,10.53,10.53,8.61,0,89201704.0,102633,102633,89201704.0
20260520,000880.SZ,潍柴重机,U,35.42,35.42,28.98,0,213799760.0,93003,93003,213799760.0
20260520,000890.SZ,法尔胜,U,12.85,12.85,10.51,1,96112860.0,111509,130121,96112860.0
20260520,000926.SZ,福星股份,U,2.28,2.28,1.86,1,47392944.0,93039,93527,47392944.0
20260520,001259.SZ,利仁科技,U,80.53,80.53,65.89,0,18736834.0,144436,144436,18736834.0
20260520,001266.SZ,宏英智能,U,51.41,51.41,42.07,0,83176239.0,140857,140857,83176239.0
20260520,001269.SZ,欧晶科技,U,24.49,24.49,20.03,0,109146860.0,93336,93336,109146860.0
20260520,001313.SZ,粤海饲料,U,9.79,9.79,8.01,0,82786100.0,132733,132733,82786100.0
20260520,002072.SZ,凯瑞德,U,7.76,7.76,6.35,0,3330592.0,110054,110054,3330592.0
20260520,002126.SZ,银轮股份,U,58.15,58.15,47.57,3,66174700.0,130903,135012,66174700.0
20260520,002158.SZ,汉钟精机,U,35.04,35.04,28.67,0,90171936.0,93239,93239,90171936.0
20260520,002169.SZ,智光电气,U,17.89,17.89,14.63,3,73476019.0,130736,134700,73476019.0
20260520,002272.SZ,川润股份,U,24.94,24.94,20.4,2,130332075.0,92500,95112,130332075.0
20260520,002407.SZ,多氟多,U,40.69,40.69,33.29,0,321707143.0,130409,130409,321707143.0
20260520,002421.SZ,达实智能,U,4.27,4.27,3.49,8,130102736.0,92500,100036,130102736.0
20260520,002442.SZ,龙星科技,U,6.7,6.7,5.48,1,48032300.0,93242,94906,48032300.0
20260520,002645.SZ,华宏科技,U,30.11,30.11,24.63,0,102419676.0,140409,140409,102419676.0
20260520,002654.SZ,万润科技,U,19.28,19.28,15.78,4,32495071.0,112733,145054,32495071.0
20260520,002782.SZ,可立克,U,30.35,30.35,24.83,2,45575077.0,93709,112633,45575077.0
20260520,002787.SZ,华源控股,U,28.18,28.18,23.06,0,59893772.0,105800,105800,59893772.0
20260520,002796.SZ,世嘉科技,U,53.25,53.25,43.57,1,46670323.0,93030,93215,46670323.0
20260520,003004.SZ,声迅股份,U,45.13,45.13,36.93,2,24216758.0,102430,112600,24216758.0
20260520,003036.SZ,泰坦股份,U,45.98,45.98,37.62,0,134556285.0,142909,142909,134556285.0
20260520,300069.SZ,金利华电,U,36.72,36.72,24.48,0,539869190.0,92500,92500,539869190.0
20260520,301013.SZ,利和兴,U,36.36,36.36,24.24,1,121811999.0,94742,103051,121811999.0
20260520,301020.SZ,密封科技,U,31.01,31.01,20.67,0,73064645.0,103600,103600,73064645.0
20260520,301092.SZ,争光股份,U,49.2,49.2,32.8,1,36140106.0,135030,135242,36140106.0
20260520,301322.SZ,绿通科技,U,54.12,54.12,36.08,0,250057509.0,92500,92500,250057509.0
20260520,600530.SH,交大昂立,U,7.57,7.57,6.19,1,14218178.0,103606,104321,14218178.0
20260520,600563.SH,法拉电子,U,162.36,162.36,132.84,2,192179524.0,93344,93850,192179524.0
20260520,600604.SH,市北高新,U,5.4,5.4,4.42,0,96759527.0,92504,92504,96759527.0
20260520,600611.SH,大众交通,U,5.06,5.06,4.14,0,46230943.0,93856,93856,46230943.0
20260520,600615.SH,鑫源智造,U,12.25,12.25,10.03,1,7904435.0,131319,131343,7904435.0
20260520,600895.SH,张江高科,U,38.15,38.15,31.21,0,297090073.0,102328,102328,297090073.0
20260520,600962.SH,国投中鲁,U,27.65,27.65,22.63,0,105540879.0,130115,130115,105540879.0
20260520,601133.SH,柏诚股份,U,33.3,33.3,27.24,0,108624600.0,135214,135214,108624600.0
20260520,603005.SH,晶方科技,U,36.8,36.8,30.11,0,310363324.0,94344,94344,310363324.0
20260520,603061.SH,金海通,U,348.59,348.59,285.21,1,86345743.0,131600,131700,86345743.0
20260520,603090.SH,宏盛股份,U,71.89,71.89,58.82,1,61214335.0,104831,105104,61214335.0
20260520,603186.SH,华正新材,U,113.99,113.99,93.27,4,70603468.0,131019,134958,70603468.0
20260520,603316.SH,诚邦股份,U,24.77,24.77,20.27,1,41557941.0,93118,93154,41557941.0
20260520,603324.SH,盛剑科技,U,30.64,30.64,25.07,1,43127025.0,130537,130634,43127025.0
20260520,603353.SH,和顺石油,U,53.06,53.06,43.42,1,40279968.0,101354,102036,40279968.0
20260520,603375.SH,盛景微,U,52.7,52.7,43.12,0,24016549.0,144014,144014,24016549.0
20260520,603618.SH,杭电股份,U,42.58,42.58,34.84,1,166158103.0,94507,95431,166158103.0
20260520,603663.SH,三祥新材,U,45.73,45.73,37.41,0,131661243.0,145432,145432,131661243.0
20260520,603687.SH,大胜达,U,17.7,17.7,14.48,0,191430810.0,95514,95514,191430810.0
20260520,603779.SH,威龙股份,U,13.2,13.2,10.8,0,551150028.0,92501,92501,551150028.0
20260520,603790.SH,雅运股份,U,32.14,32.14,26.3,0,1850942.0,101527,101527,1850942.0
20260520,603919.SH,金徽酒,U,20.3,20.3,16.61,0,33683993.0,103417,103417,33683993.0
20260520,603938.SH,三孚股份,U,53.76,53.76,43.98,0,147954885.0,93108,93108,147954885.0
20260520,603986.SH,兆易创新,U,445.02,445.02,364.1,0,1061124823.0,143752,143752,1061124823.0
20260520,605288.SH,凯迪股份,U,104.61,104.61,85.59,3,17778469.0,142337,143443,17778469.0
20260520,688323.SH,瑞华泰,U,37.32,37.32,24.88,4,26771539.0,143531,144949,26771539.0
20260520,688449.SH,联芸科技,U,88.6,88.6,59.06,0,163652617.0,142211,142211,163652617.0
20260520,688584.SH,上海合晶,U,32.16,32.16,21.44,0,90090547.0,101333,101333,90090547.0
