trade_date,exec_date,target_date,ts_code,name,rank,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,entry_price_proxy_t1,entry_price_proxy_mode,dataset_split,sample_weight,is_cold_start,feature_coverage_score,label_version,buy_window_start,buy_window_end,open_t1,high_t1,low_t1,close_t1,up_limit_t1,down_limit_t1,limit_type_t1,open_times_t1,seal_amount_t1,symbol,board,area,market,list_date,open,high,low,close,pct_chg,pre_close_est,returns_1d,high_low_range,candle_body,gap_open,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,amihud_illiquidity,volatility_5d,volatility_10d,volatility_20d,atr,downside_vol,max_drawdown_20d,tail_risk_score,total_mv,float_mv,pe_ttm,pb,north_money_market,south_money_market,hgt_market,sgt_market,market_regime,hot_boards_score,board_crowding_rank,is_hot_board,board_rank,board_limit_up_count,is_st_like,top_list_net_buy,top_net_rate,amount_rate,float_values,abnormal_volume,has_namechange_record,latest_change_reason,ret_2d,ret_5d,ret_10d,bid_ask_proxy,spread_proxy,limit_type,open_times,fd_amount,seal_amount,first_seal_time,last_seal_time,open_times_break,fd_amount_break,seal_amount_break,first_time_break,last_time_break,up_limit,down_limit,is_limit_up,break_count_proxy,limit_up_strength,prior_prob_prior,prior_strength_score,prior_theme_boost,prior_board,open_times_t1__is_missing,seal_amount_t1__is_missing,limit_type_t1__is_missing,prior_prob_prior__is_missing,prior_strength_score__is_missing,prior_theme_boost__is_missing
20260304,20260305,20260306,600759.SH,洲际油气,1,FULLY_READY,1,1,1,strong_open_tradable,8.24,open_t1,raw_train_pool,1.75,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,8.24,9.09,7.78,8.7,9.09,7.43,,,,600759,石油开采,海南,主板,19961008,8.26,8.26,8.03,8.26,9.9867,0.7518181073479752,9.9867,0.3059250605326882,0.0,9.9867,6580779.71,5433027.777,15.8815,18.1022,1.26,1.8381463172850628e-06,,,,,,,,3427081.6653,,,,329782.01,52840.09,156625.09,173156.92,,3.0,3.0,1.0,3.0,3.0,0.0,,,,,,0.0,,,,,,,U,2.0,559108653.0,559108653.0,92501.0,134234.0,,,,,,8.26,6.76,1.0,0.0,2.274461457550001,0.7765364316270068,51.909091,0.6230854212758787,石油开采,1,1,1,0,0,0
20260304,20260305,20260306,001309.SZ,德明利,2,FULLY_READY,1,1,1,strong_open_tradable,257.0,open_t1,raw_train_pool,1.75,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,257.0,266.34,254.0,256.11,276.73,226.41,,,,1309,半导体,深圳,主板,20220701,240.0,251.57,238.68,251.57,10.0,22.87,10.0,0.5636204634892866,0.5059029296020985,9.4940970703979,195654.3,4878285.276,12.1618,13.5296,2.19,2.049900617579217e-06,,,,,,,,5706756.2183,,,,329782.01,52840.09,156625.09,173156.92,,2.0,5.0,1.0,5.0,2.0,0.0,335327397.78,6.87,26.28,40471558716.38,26.28,0.0,,,,,,,U,16.0,131317275.0,131317275.0,93606.0,130809.0,,,,,,251.57,205.83,1.0,0.0,1.4711480820027871,0.7063052045703226,49.295455,0.4401210427490234,半导体,1,1,1,0,0,0
20260304,20260305,20260306,000525.SZ,红太阳,3,FULLY_READY,1,1,1,strong_open_tradable,7.32,open_t1,raw_train_pool,1.75,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,7.32,7.32,6.81,6.88,7.51,6.15,,,,525,农药化肥,江苏,主板,19931028,6.06,6.83,6.03,6.83,9.9839,0.6218192081136936,9.9839,1.2865475841874083,1.2383020497803816,8.745597950219619,909810.42,600194.408,8.1835,10.4035,1.3,1.663444355182996e-05,,,,,,,,890057.2835,,,,329782.01,52840.09,156625.09,173156.92,,,,0.0,,,0.0,,,,,,0.0,,,,,,,U,1.0,156220103.0,156220103.0,130300.0,132339.0,,,,,,6.83,5.59,1.0,0.0,1.6931075582035833,0.6570567007888654,71.363636,0.0,农药化肥,1,1,1,0,0,0
20260304,20260305,20260306,688525.SH,佰维存储,4,FULLY_READY,1,1,1,strong_open_tradable,194.99,open_t1,raw_train_pool,1.5,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,194.99,205.99,191.5,191.5,211.19,140.79,,,,688525,半导体,深圳,科创板,20221230,175.99,175.99,168.89,175.99,19.9986,8.381034926137934,19.9986,0.8471507472015481,0.0,19.9986,373304.64,6534871.543,7.9914,11.2225,1.64,3.06028968869664e-06,,,,,,,,8221050.9643,,,,329782.01,52840.09,156625.09,173156.92,,2.0,5.0,1.0,5.0,2.0,0.0,-254068471.9,-3.89,25.53,82210509642.9,25.53,0.0,,,,,,,U,1.0,808979744.0,808979744.0,92503.0,93239.0,,,,,,175.99,117.33,1.0,0.0,2.75,0.6351665077249178,41.5,0.4401210427490234,半导体,1,1,1,0,0,0
20260304,20260305,20260306,002389.SZ,航天彩虹,5,FULLY_READY,1,1,1,strong_open_tradable,28.0,open_t1,raw_train_pool,1.5,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,28.0,29.85,27.71,29.3,31.65,25.89,,,,2389,航空,浙江,主板,20100413,25.68,28.77,25.64,28.77,10.0191,2.6109210371082936,10.0191,1.1988106708376778,1.1834904066736185,8.835609593326382,1429774.72,3986369.477,14.519,23.0571,2.03,2.513339533078108e-06,,,,,,,,2833603.3924,,,,329782.01,52840.09,156625.09,173156.92,,,,0.0,,,0.0,-164572502.31,-1.43,15.04,28331488408.02,15.04,0.0,,,,,,,U,1.0,217436525.0,217436525.0,102809.0,105406.0,,,,,,28.77,23.54,1.0,0.0,1.7687787013366802,0.59489413711033,39.272727,0.08,航空,1,1,1,0,0,0
20260304,20260305,20260306,000533.SZ,顺钠股份,6,FULLY_READY,1,1,0,strong_dead_limit_up,,,raw_train_pool,1.5,0,1.0,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,13.53,13.53,13.53,13.53,13.53,11.07,U,0.0,432341827.0,533,电气设备,广东,主板,19940103,11.12,12.3,11.1,12.3,10.0179,1.1163651875584275,10.0179,1.0749170731707325,1.0570017886178875,8.960898211382112,574839.05,701868.486,8.393,13.7677,0.73,1.4273186786163809e-05,,,,,,,,849703.68,,,,329782.01,52840.09,156625.09,173156.92,,8.0,1.0,1.0,1.0,8.0,0.0,,,,,,0.0,,,,,,,U,2.0,185046771.0,185046771.0,93136.0,93336.0,,,,,,12.3,10.06,1.0,0.0,1.8120742534520944,0.4903610855410715,62.227273,1.0,电气设备,0,0,0,0,0,0
20260304,20260305,20260306,603175.SH,超颖电子,7,FULLY_READY,1,1,1,strong_open_tradable,82.03,open_t1,raw_train_pool,1.5,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,82.03,82.9,77.82,78.99,87.6,71.68,,,,603175,元器件,湖北,主板,20251024,71.0,79.64,71.0,79.64,10.0,7.24,10.0,1.1933701657458564,1.1933701657458564,8.806629834254142,63235.11,492309.854,14.3718,14.3718,1.16,2.0312410809473663e-05,,,,,,,,3480501.5124,,,,329782.01,52840.09,156625.09,173156.92,,2.0,4.0,1.0,4.0,2.0,0.0,,,,,,0.0,,,,,,,U,0.0,19390269.0,19390269.0,100822.0,100822.0,,,,,,79.64,65.16,1.0,0.0,2.2739687942050626,0.3320690853052476,67.886364,0.479801681970459,元器件,1,1,1,0,0,0
20260304,20260305,20260306,300265.SZ,通光线缆,8,FULLY_READY,1,1,1,strong_open_tradable,19.94,open_t1,raw_train_pool,1.5,0,1.0,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,19.94,21.46,19.76,21.46,21.46,14.3,U,8.0,37210438.0,300265,电气设备,江苏,创业板,20110916,14.62,17.88,14.49,17.88,20.0,0.8514285714285714,20.0,3.981543624161072,3.828859060402684,16.171140939597315,805182.81,1371381.566,17.2305,28.3045,0.96,1.4583833191177662e-05,,,,,,,,836071.187,,,,329782.01,52840.09,156625.09,173156.92,,8.0,1.0,1.0,1.0,8.0,0.0,244735086.5,17.85,32.39,8355354574.8,32.39,0.0,,,,,,,U,0.0,146017985.0,146017985.0,95103.0,95103.0,,,,,,17.88,11.92,1.0,0.0,2.4304964661760438,0.3157449060976947,43.295455,1.0,电气设备,0,0,0,0,0,0
20260304,20260305,20260306,002490.SZ,山东墨龙,9,FULLY_READY,1,1,1,strong_open_tradable,11.89,open_t1,raw_train_pool,1.5,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,11.89,12.89,11.89,12.7,12.89,10.55,,,,2490,化工机械,山东,主板,20101021,11.72,11.72,11.26,11.72,10.0469,1.0609311209479582,10.0469,0.4335813993174069,0.0,10.046900000000004,941992.36,1099410.626,17.3889,30.7735,1.91,9.138441781806102e-06,,,,,,,,935078.3248,,,,329782.01,52840.09,156625.09,173156.92,,,,0.0,,,0.0,,,,,,0.0,,,,,,,U,2.0,117840486.0,117840486.0,92500.0,93933.0,,,,,,11.72,9.59,1.0,0.0,1.4789988915552708,0.2861836815944779,41.954545,0.0,化工机械,1,1,1,0,0,0
20260304,20260305,20260306,002498.SZ,汉缆股份,10,FULLY_READY,1,1,1,strong_open_tradable,8.92,open_t1,raw_train_pool,1.5,0,1.0,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,8.92,8.94,8.9,8.94,8.94,7.32,U,0.0,487998643.0,2498,电气设备,山东,主板,20101109,7.28,8.13,7.23,8.13,10.0135,0.7381849548281655,10.0135,1.2192066420664212,1.151472939729398,8.862027060270602,2323375.73,1857917.686,6.9838,20.8864,0.7,5.389635975508982e-06,,,,,,,,2704685.148,,,,329782.01,52840.09,156625.09,173156.92,,8.0,1.0,1.0,1.0,8.0,0.0,105634266.8,5.69,32.06,27046851480.0,32.06,0.0,,,,,,,U,4.0,118204378.0,118204378.0,93824.0,112236.0,,,,,,8.13,6.65,1.0,0.0,1.5961153741817298,0.2342687713153616,49.772727,1.0,电气设备,0,0,0,0,0,0
20260304,20260305,20260306,600821.SH,金开新能,11,FULLY_READY,1,1,1,strong_open_tradable,7.88,open_t1,raw_train_pool,1.25,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,7.88,8.28,7.6,7.82,8.66,7.08,,,,600821,新型电力,天津,主板,19940128,7.1,7.87,7.1,7.87,10.0699,0.7109368648316606,10.0699,1.08307789072427,1.08307789072427,8.98682210927573,2901181.76,2237801.781,14.5258,19.1973,1.05,4.499907045162907e-06,,,,,,,,1571846.3375,,,,329782.01,52840.09,156625.09,173156.92,,2.0,7.0,1.0,7.0,2.0,0.0,241178546.83,10.78,25.04,15718463375.11,25.04,0.0,,,,,,,U,3.0,116078171.0,116078171.0,93828.0,133419.0,,,,,,7.87,6.44,1.0,0.0,1.6434871167800216,0.2302841293981809,42.636364,0.2566570212508551,新型电力,1,1,1,0,0,0
20260304,20260305,20260306,603530.SH,神马电力,12,FULLY_READY,1,1,1,strong_open_tradable,70.07,open_t1,raw_train_pool,1.25,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,70.07,73.93,70.01,71.48,73.93,60.49,,,,603530,电气设备,江苏,主板,20190805,60.46,67.21,60.31,67.21,10.0,6.109999999999999,10.0,1.1292962356792131,1.1047463175122738,8.895253682487725,155128.22,1018691.975,3.629,17.2213,1.34,9.816510039749747e-06,,,,,,,,2901352.0286,,,,329782.01,52840.09,156625.09,173156.92,,8.0,1.0,1.0,1.0,8.0,0.0,,,,,,0.0,,,,,,,U,1.0,113920950.0,113920950.0,95749.0,131902.0,,,,,,67.21,54.99,1.0,0.0,1.8908205222008625,0.2164164598082182,58.795455,1.0,电气设备,1,1,1,0,0,0
20260304,20260305,20260306,603045.SH,福达合金,13,FULLY_READY,1,1,1,strong_open_tradable,34.01,open_t1,raw_train_pool,1.25,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,34.01,35.2,33.18,33.61,35.65,29.17,,,,603045,小金属,浙江,主板,20180517,28.83,32.41,28.78,32.41,10.0136,2.942725357739522,10.0136,1.2335503856834296,1.2165593335390308,8.797040666460969,98740.75,305802.841,7.2901,10.1623,1.43,3.274528113360464e-05,,,,,,,,438977.7474,,,,329782.01,52840.09,156625.09,173156.92,,2.0,6.0,1.0,6.0,2.0,0.0,22426654.05,7.33,46.46,4389777473.55,46.46,0.0,,,,,,,U,0.0,120643632.0,120643632.0,144207.0,144207.0,,,,,,32.41,26.51,1.0,0.0,2.3991305967730137,0.1719524418393869,73.636364,0.3401553699246989,小金属,1,1,1,0,0,0
20260304,20260305,20260306,002162.SZ,悦心健康,14,FULLY_READY,1,1,1,strong_open_tradable,6.41,open_t1,raw_train_pool,1.25,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,6.41,6.45,5.98,6.05,6.69,5.47,,,,2162,陶瓷,上海,主板,20070823,5.49,6.08,5.46,6.08,9.9458,0.5554641963127409,9.9458,1.116183552631579,1.0621746710526314,8.88362532894737,879159.56,516090.339,9.5717,19.9829,1.11,1.927143224434589e-05,,,,,,,,559178.1867,,,,329782.01,52840.09,156625.09,173156.92,,,,0.0,,,0.0,,,,,,0.0,,,,,,,U,0.0,131864438.0,131864438.0,102545.0,102545.0,,,,,,6.08,4.98,1.0,0.0,2.1630009143961955,0.1405601098119474,68.863636,0.0,陶瓷,1,1,1,0,0,0
20260304,20260305,20260306,603318.SH,水发燃气,15,FULLY_READY,1,1,1,strong_open_tradable,10.09,open_t1,raw_train_pool,1.25,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,10.09,10.75,9.6,9.6,11.74,9.6,,,,603318,供气供热,辽宁,主板,20150424,10.67,10.67,9.79,10.67,10.0,0.97,10.0,0.9072164948453616,0.0,10.0,1678743.58,1758745.046,36.5683,63.9292,4.93,5.685872447938654e-06,,,,,,,,489828.6759,,,,329782.01,52840.09,156625.09,173156.92,,,,0.0,,,0.0,103415359.9,5.46,16.45,4898286759.08,16.45,0.0,,,,,,,U,6.0,22636042.0,22636042.0,92502.0,141435.0,,,,,,10.67,8.73,1.0,0.0,1.170838117866574,0.1225177764997444,38.931818,0.08,供气供热,1,1,1,0,0,0
20260304,20260305,20260306,000010.SZ,美丽生态,16,FULLY_READY,1,1,1,strong_open_tradable,4.56,open_t1,raw_train_pool,1.25,0,0.6667,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,4.56,4.57,4.28,4.32,4.86,3.98,,,,10,建筑工程,深圳,主板,19951027,3.99,4.42,3.83,4.42,9.9502,0.4036455955142372,9.9502,1.461678280542986,1.0652909502262438,8.884909049773757,1369664.24,590454.991,16.1511,19.3665,1.45,1.685175017853308e-05,,,,,,,,508146.3131,,,,329782.01,52840.09,156625.09,173156.92,,3.0,2.0,1.0,2.0,3.0,0.0,,,,,,0.0,,,,,,,U,5.0,36423792.0,36423792.0,101054.0,111000.0,,,,,,4.42,3.62,1.0,0.0,1.4616910226782307,0.081369699298258,65.136364,0.7946272018253463,建筑工程,1,1,1,0,0,0
