rank,trade_date,base_date,buy_date,target_date,ts_code,name,sector,close_T,rank_group,is_top10,is_top20,榜单分组,T日建议买入方式,T日可接受买入价,T+1建议买入方式,T+1可接受买入价,T+1卖出计划,T+2卖出计划,t_buy_method,t_max_buy_price,t1_buy_method,t1_max_buy_price,t1_sell_plan,t2_sell_plan,t_limitup_prob,T日涨停概率,t_limitup_strength,T日涨停强度,t1_continue_up_rate,T+1延续上涨率,limitup_continuation_score,涨停接力评分,t_limitup_prob_rule,t_limitup_strength_rule,t1_continue_up_rate_rule,limitup_continuation_score_rule,t_up_prob_model,t_high_profit_prob_model,t_limitup_prob_model,t_touch_limitup_prob_model,t1_up_prob_model,t1_high_profit_prob_model,t1_accept_prob_model,t1_fail_prob_model,t1_big_drawdown_prob_model,t_close_ret_pred,t_intraday_ret_pred,t1_close_ret_pred,t1_high_ret_pred,limitup_model_score,limitup_model_src,model_can_rank,model_rank_mode,model_quality_flag,t_limitup_prob_raw_before_calibration,t_limitup_prob_calibrated,limitup_calibration_src,limitup_alpha_score,t1_alpha_score,strength_alpha_score,execution_alpha_score,premium_adaptive_score,自适应排序评分,rank_adaptive_score,adaptive_weight_limitup,adaptive_weight_t1,adaptive_weight_strength,adaptive_weight_execution,t_up_prob_model_blend,t_high_profit_prob_model_blend,t_touch_limitup_prob_blend,t1_accept_prob_blend,t1_fail_prob_blend,t1_big_drawdown_prob_blend,eret_plus_score,market_score,intraday_attack_edge,intraday_execution_edge,intraday_risk_penalty,intraday_hard_risk_flag,execution_safety_score,execution_score,risk_penalty_score,t1_close_ret_pred_score,t1_high_ret_pred_score,t_up_attack_score,t1_accept_score,premium_final_score,premium_final_score_raw,premium_eligible,premium_force_excluded,premium_bucket,premium_exclude_reason,premium_rank_mode,rank_premium_final,mkt_stock_count,mkt_up_ratio,mkt_avg_ret,mkt_median_ret,mkt_strong_count,mkt_strong_ratio,mkt_touch_strong_count,mkt_touch_strong_ratio,mkt_amount_sum,mkt_emotion_score,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,eret_plus_conf_score,eret_plus_src,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,t1_up_rate,T+1上涨率,rank_limitup_continuation,rank_eret_plus,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
1,20260629,20260629,20260630,20260701,600867.SH,通化东宝,生物制药,8.17,TOP10,1,1,TOP10,限价竞价,≤8.50,限价竞价,≤8.50,冲高至8.97附近优先兑现；强势放量再看9.38；弱于8.05止损,冲高至8.97附近优先兑现；强势放量再看9.38；弱于8.05止损,限价竞价,≤8.50,限价竞价,≤8.50,冲高至8.97附近优先兑现；强势放量再看9.38；弱于8.05止损,冲高至8.97附近优先兑现；强势放量再看9.38；弱于8.05止损,0.556053,0.556053,72.6964,72.6964,0.826068,0.826068,75.5647,75.5647,0.914057,74.4594,0.834354,84.2964,0.8454413737367458,0.9764403821742562,0.7304562346488392,0.7152099260476246,0.843482454476422,0.7955995659124709,0.7811264006375075,0.14049766108504538,0.427429373327162,0.09205270175719861,0.11360597781968805,0.054393152897850724,0.04674687230610294,0.7837919206589717,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.785536,0.556053,historical_bin_blend_v1,60.1792,87.3258,83.6178,87.5391,70.6776,70.6776,1,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.831493,0.731058,0.71521,0.828749,0.162751,0.158305,82.5236,41.7819,60.65,74.65,0.292,0.0,88.2587,88.2587,0.128943,91.9181,87.2351,69.308,84.201,64.7881,0.647881,1,0,ELIGIBLE,ok,professional_score_rule_guarded,1,5506.0,0.44605884489647657,-0.0004935864819946849,-0.0031299594427791066,199.0,0.036142390119869236,343.0,0.06229567744278968,3537407779.76045,0.4178186772234361,0.0,0.09762060659773199,0.09762060659773199,up,high,0.967861,ehx:model_v1,-0.016407377683111124,0.04822173428413345,0.09314475204587756,0.13806776980762167,0.20269688177486742,8.037045424916576,8.573625109876845,8.967560355903471,9.379595877609667,10.00580866290256,0.9190196499294562,0.9190196499294562,1,29,29,0.677279170562891,0.0,0.6408707481611164,,,,3.0,,,0.8255988955446601,
2,20260629,20260629,20260630,20260701,002437.SZ,誉衡药业,化学制药,2.67,TOP10,1,1,TOP10,限价竞价,≤2.79,限价竞价,≤2.79,冲高至2.99附近优先兑现；强势放量再看3.13；弱于2.63止损,冲高至2.99附近优先兑现；强势放量再看3.13；弱于2.63止损,限价竞价,≤2.79,限价竞价,≤2.79,冲高至2.99附近优先兑现；强势放量再看3.13；弱于2.63止损,冲高至2.99附近优先兑现；强势放量再看3.13；弱于2.63止损,0.513135,0.513135,69.2511,69.2511,0.806007,0.806007,69.5739,69.5739,0.979268,74.5479,0.897487,86.7026,0.7414965395724187,0.9754742445483576,0.6081834307101225,0.6571993715949218,0.826012518034695,0.5699750665309475,0.6888115938288445,0.3878564110292998,0.5239436533378168,0.08154575957742997,0.10848371769208943,0.048372082907615285,0.052944212394439236,0.6812948747110038,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.719509,0.513135,historical_bin_blend_v1,55.7004,86.1112,81.1733,66.2084,65.0501,65.0501,2,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.787944,0.694453,0.657199,0.804531,0.222565,0.198764,98.1604,41.7819,58.39,72.89,0.313,0.0,76.0869,76.0869,0.154816,89.5488,92.1087,66.3586,81.929,62.431,0.62431,1,0,ELIGIBLE,ok,professional_score_rule_guarded,2,5506.0,0.44605884489647657,-0.0004935864819946849,-0.0031299594427791066,199.0,0.036142390119869236,343.0,0.06229567744278968,3537407779.76045,0.4178186772234361,0.0,0.12,0.12,up,high,0.963097,ehx:model_v1,-0.0013143914012707647,0.06631807050684191,0.11332868530700317,0.16033930010716443,0.22797176201527833,2.666492880327493,2.853072668797287,2.9904,3.1343373261395784,3.353653117161788,0.948024667719209,0.948024667719209,2,1,1,0.6873228950447499,0.0,0.6539358954544019,,,,,,,,
3,20260629,20260629,20260630,20260701,000959.SZ,首钢股份,普钢,3.44,TOP10,1,1,TOP10,限价竞价,≤3.57,限价竞价,≤3.57,冲高至3.81附近优先兑现；强势放量再看4.02；弱于3.39止损,冲高至3.81附近优先兑现；强势放量再看4.02；弱于3.39止损,限价竞价,≤3.57,限价竞价,≤3.57,冲高至3.81附近优先兑现；强势放量再看4.02；弱于3.39止损,冲高至3.81附近优先兑现；强势放量再看4.02；弱于3.39止损,0.518304,0.518304,68.0552,68.0552,0.728789,0.728789,65.99,65.99,0.955958,69.5089,0.807915,82.2367,0.7502164442151691,0.9673894040683118,0.6295336469108203,0.6708600048349337,0.7771502495487336,0.5265518685247167,0.5590923439432364,0.433708154026187,0.5604318446038062,0.08679932788329159,0.10999918846105784,0.026523669268149194,0.047867634710310206,0.6500293824951978,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.727461,0.518304,historical_bin_blend_v1,56.1989,80.6904,79.701,65.7261,64.5708,64.5708,3,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.734789,0.698968,0.67086,0.722362,0.284828,0.223918,95.0943,41.7819,60.65,74.65,0.292,0.0,76.0178,76.0178,0.169106,80.1103,88.7884,65.8207,76.0636,58.1677,0.581677,1,0,ELIGIBLE,ok,professional_score_rule_guarded,3,5506.0,0.44605884489647657,-0.0004935864819946849,-0.0031299594427791066,199.0,0.036142390119869236,343.0,0.06229567744278968,3537407779.76045,0.4178186772234361,0.0,0.10856178144151124,0.10856178144151124,up,high,0.949316,ehx:model_v1,-0.027728586369058977,0.04943080161618766,0.10306348279403366,0.15669616397187966,0.23385555195712768,3.3459239879465135,3.6143147238278965,3.8134525281587983,4.023562222915373,4.346309191992685,0.9025357276263681,0.9025357276263681,4,9,9,0.6439752372850855,0.0,0.6080918094841754,,,,,,,,
4,20260629,20260629,20260630,20260701,600488.SH,津药药业,化学制药,4.84,TOP10,1,1,TOP10,只观察不追,≤4.89,只观察不追,≤4.89,冲高至5.30附近优先兑现；强势放量再看5.55；弱于4.77止损,冲高至5.30附近优先兑现；强势放量再看5.55；弱于4.77止损,只观察不追,≤4.89,只观察不追,≤4.89,冲高至5.30附近优先兑现；强势放量再看5.55；弱于4.77止损,冲高至5.30附近优先兑现；强势放量再看5.55；弱于4.77止损,0.469462,0.469462,63.0676,63.0676,0.715333,0.715333,63.3094,63.3094,0.614096,54.6493,0.764969,65.5979,0.7729109654138984,0.9671479928168684,0.6686999432470012,0.6867974181184634,0.7309667699572365,0.5397995044056243,0.6412281650173568,0.3292711521119128,0.5211085904255532,0.09001956003314374,0.11538363264797595,0.054754183653192234,0.04916267194327231,0.675530461872188,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.652319,0.469462,historical_bin_blend_v1,52.4704,79.3656,73.3123,87.356,63.1521,63.1521,8,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.731455,0.687055,0.686797,0.733268,0.281387,0.210753,77.0047,41.7819,60.65,74.65,0.292,0.0,88.1101,88.1101,0.165258,92.6366,90.3926,63.5333,77.8891,56.0964,0.560964,1,0,ELIGIBLE,ok,professional_score_rule_guarded,4,5506.0,0.44605884489647657,-0.0004935864819946849,-0.0031299594427791066,199.0,0.036142390119869236,343.0,0.06229567744278968,3537407779.76045,0.4178186772234361,0.0,0.09479576505801421,0.09479576505801421,up,high,0.962381,ehx:model_v1,-0.023709332505973388,0.04370726218290674,0.090567829943451,0.13742839770399526,0.20484499239287662,4.726596503539206,5.056234230019635,5.298811502880789,5.553026633212901,5.94030045129468,0.9038136778768324,0.9038136778768324,13,38,38,0.6590398851722631,0.0,0.6110208085436613,,,,8.0,,,0.8257331434484974,
5,20260629,20260629,20260630,20260701,605300.SH,佳禾食品,乳制品,10.35,TOP10,1,1,TOP10,限价竞价,≤10.75,限价竞价,≤10.75,冲高至11.35附近优先兑现；强势放量再看11.82；弱于10.19止损,冲高至11.35附近优先兑现；强势放量再看11.82；弱于10.19止损,限价竞价,≤10.75,限价竞价,≤10.75,冲高至11.35附近优先兑现；强势放量再看11.82；弱于10.19止损,冲高至11.35附近优先兑现；强势放量再看11.82；弱于10.19止损,0.484257,0.484257,65.6277,65.6277,0.76164,0.76164,68.2042,68.2042,0.940777,74.8082,0.844321,83.9423,0.834407546121358,0.9681552790458275,0.5612112297921718,0.5950731991501701,0.8072484311458846,0.6474614720950076,0.5951567840021209,0.29182234186830563,0.545088536513607,0.08304030948999293,0.11245250243658066,0.004974969604320655,0.0023825074356434383,0.6691138347826117,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.675081,0.484257,historical_bin_blend_v1,52.1406,74.0638,78.6219,66.8157,61.6329,61.6329,9,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.782015,0.659642,0.595073,0.674706,0.27939,0.215085,80.3774,41.7819,47.18,48.98,0.0,0.0,72.2689,72.2689,0.107498,64.6271,16.0408,60.8236,61.8691,54.5429,0.545429,1,0,ELIGIBLE,ok,professional_score_rule_guarded,5,5506.0,0.44605884489647657,-0.0004935864819946849,-0.0031299594427791066,199.0,0.036142390119869236,343.0,0.06229567744278968,3537407779.76045,0.4178186772234361,0.0,0.09617070016840021,0.09617070016840021,up,high,0.980448,ehx:model_v1,-0.008344225737788216,0.05074831768288931,0.09182292472714434,0.13289753177139937,0.19199007519207797,10.263996578601422,10.888801081895329,11.345366746742942,11.821076135931733,12.540665386273906,0.93420128077984,0.93420128077984,3,32,32,0.6517832328881354,0.0,0.6161513114832333,,,,,,,,
6,20260629,20260629,20260630,20260701,000566.SZ,海南海药,化学制药,4.54,TOP10,1,1,TOP10,限价竞价,≤4.71,限价竞价,≤4.71,冲高至5.00附近优先兑现；强势放量再看5.23；弱于4.47止损,冲高至5.00附近优先兑现；强势放量再看5.23；弱于4.47止损,限价竞价,≤4.71,限价竞价,≤4.71,冲高至5.00附近优先兑现；强势放量再看5.23；弱于4.47止损,冲高至5.00附近优先兑现；强势放量再看5.23；弱于4.47止损,0.480555,0.480555,67.3927,67.3927,0.721571,0.721571,64.4781,64.4781,0.957471,78.0071,0.839995,87.1164,0.7189758485964529,0.9749455584133262,0.5459210353251877,0.60316381397791,0.7483500723801998,0.4226504196390013,0.5679168297911238,0.41055853141657583,0.5721413045189297,0.05692068534427954,0.10537371763601275,0.034959353129515806,0.024792470593201676,0.6017110841832738,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.669386,0.480555,historical_bin_blend_v1,52.1962,76.3153,77.7941,88.1794,63.9689,63.9689,7,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.720844,0.663124,0.603164,0.69506,0.302141,0.229228,87.7358,41.7819,60.65,74.65,0.292,0.0,88.5898,88.5898,0.173843,85.0235,50.1714,62.2993,70.4634,54.4629,0.544629,1,0,ELIGIBLE,ok,professional_score_rule_guarded,6,5506.0,0.44605884489647657,-0.0004935864819946849,-0.0031299594427791066,199.0,0.036142390119869236,343.0,0.06229567744278968,3537407779.76045,0.4178186772234361,0.0,0.10113721227287781,0.10113721227287781,up,high,0.965133,ehx:model_v1,-0.013800430740668376,0.05117779324574468,0.09634347510978827,0.14150915697383187,0.2064873809602461,4.477776388306401,4.77839542641895,4.999162943718865,5.230130181290005,5.581259082770839,0.9248910786661075,0.9248910786661075,8,21,21,0.7006631147466654,0.0,0.6551910292457428,,,,1.0,,,0.8369193803390161,
7,20260629,20260629,20260630,20260701,603928.SH,兴业股份,化工原料,13.45,TOP10,1,1,TOP10,只观察不追,≤13.58,只观察不追,≤13.58,冲高至14.65附近优先兑现；强势放量再看15.43；弱于13.25止损,冲高至14.65附近优先兑现；强势放量再看15.43；弱于13.25止损,只观察不追,≤13.58,只观察不追,≤13.58,冲高至14.65附近优先兑现；强势放量再看15.43；弱于13.25止损,冲高至14.65附近优先兑现；强势放量再看15.43；弱于13.25止损,0.446393,0.446393,60.9082,60.9082,0.679438,0.679438,65.4585,65.4585,0.805877,70.1291,0.777966,77.3457,0.8390200323300953,0.9750311240400615,0.4989550404327995,0.5476096513566956,0.6475089499306947,0.6549190778289864,0.67086133979112,0.2567600998040956,0.4279871834946406,0.08303229071147858,0.11301924301583227,0.02938253440570652,0.01971814086938228,0.6449652491589718,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.591032,0.446393,historical_bin_blend_v1,48.0881,69.1161,75.0355,85.8929,60.1846,60.1846,13,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.724121,0.63085,0.54761,0.685926,0.297078,0.189353,71.1792,41.7819,47.18,48.98,0.0,0.0,82.5767,82.5767,0.10486,81.5573,43.1725,56.4518,65.6151,53.9974,0.539974,1,0,ELIGIBLE,ok,professional_score_rule_guarded,7,5506.0,0.44605884489647657,-0.0004935864819946849,-0.0031299594427791066,199.0,0.036142390119869236,343.0,0.06229567744278968,3537407779.76045,0.4178186772234361,0.0,0.08886636382169279,0.08886636382169279,up,high,0.950489,ehx:model_v1,-0.041815888801389534,0.03307868750331237,0.08513712184014219,0.137195556176972,0.21209013248167527,12.89917321233333,13.902348650862454,14.645252593401768,15.42785531502516,16.62768768152262,0.865001694924857,0.865001694924857,5,47,47,0.6770809312730817,0.0,0.6349810956895666,,,,4.0,,,0.809626784799545,
8,20260629,20260629,20260630,20260701,002370.SZ,亚太药业,化学制药,5.37,TOP10,1,1,TOP10,限价竞价,≤5.58,限价竞价,≤5.58,冲高至5.94附近优先兑现；强势放量再看6.23；弱于5.29止损,冲高至5.94附近优先兑现；强势放量再看6.23；弱于5.29止损,限价竞价,≤5.58,限价竞价,≤5.58,冲高至5.94附近优先兑现；强势放量再看6.23；弱于5.29止损,冲高至5.94附近优先兑现；强势放量再看6.23；弱于5.29止损,0.487282,0.487282,66.0788,66.0788,0.719218,0.719218,65.0434,65.0434,0.817319,63.5573,0.835378,77.755,0.7303444014617335,0.9539800255048475,0.620771074692761,0.677598032805774,0.7259252716468876,0.5385010339700619,0.6115330713011409,0.3508667421456615,0.6474440615252786,0.08069262376844727,0.10744311932941489,0.006092494660276993,0.0066817742867508415,0.650942768003334,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.679735,0.487282,historical_bin_blend_v1,53.8889,69.8711,77.7605,87.8311,64.4796,64.4796,4,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.722333,0.686471,0.677598,0.676881,0.28788,0.247711,92.0283,41.7819,60.65,74.65,0.292,0.0,88.3588,88.3588,0.175426,66.1795,22.8136,64.717,64.1905,53.6697,0.536697,1,0,ELIGIBLE,ok,professional_score_rule_guarded,8,5506.0,0.44605884489647657,-0.0004935864819946849,-0.0031299594427791066,199.0,0.036142390119869236,343.0,0.06229567744278968,3537407779.76045,0.4178186772234361,0.0,0.10688527566718037,0.10688527566718037,up,high,0.960702,ehx:model_v1,-0.014870369882425238,0.05381059487431973,0.10155001300565195,0.14928943113698417,0.21797039589373035,5.290736910065391,5.666878876012976,5.943973930332758,6.234618183569337,6.677864857967174,0.9243217584454231,0.9243217584454231,6,13,13,0.6599348187796361,0.0,0.6164170720688222,,,,6.0,,,0.833947074945153,
9,20260629,20260629,20260630,20260701,002628.SZ,成都路桥,建筑工程,4.86,TOP10,1,1,TOP10,限价竞价,≤5.03,限价竞价,≤5.03,冲高至5.32附近优先兑现；强势放量再看5.55；弱于4.79止损,冲高至5.32附近优先兑现；强势放量再看5.55；弱于4.79止损,限价竞价,≤5.03,限价竞价,≤5.03,冲高至5.32附近优先兑现；强势放量再看5.55；弱于4.79止损,冲高至5.32附近优先兑现；强势放量再看5.55；弱于4.79止损,0.520545,0.520545,65.6493,65.6493,0.69649,0.69649,64.64,64.64,0.822422,57.333,0.77027,72.9762,0.7694588587929686,0.9648728497941575,0.6916878806178257,0.7119351979342059,0.7027736555490616,0.5053195837659833,0.623641956739976,0.3673364837286827,0.5091448340548602,0.0857003575633145,0.11703606205412856,0.0309441062577435,0.04743626993184227,0.6707774896155173,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.730908,0.520545,historical_bin_blend_v1,56.859,76.6075,77.1254,66.6507,64.1614,64.1614,6,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.716921,0.713857,0.711935,0.704731,0.307209,0.211538,77.0047,41.7819,60.65,74.65,0.292,0.0,76.7576,76.7576,0.170611,83.2392,88.0494,65.0853,74.255,53.6195,0.536195,1,0,ELIGIBLE,ok,professional_score_rule_guarded,9,5506.0,0.44605884489647657,-0.0004935864819946849,-0.0031299594427791066,199.0,0.036142390119869236,343.0,0.06229567744278968,3537407779.76045,0.4178186772234361,0.0,0.09479576505801421,0.09479576505801421,up,high,0.975735,ehx:model_v1,-0.010747742586230902,0.049022300198374544,0.090567829943451,0.13211335968852744,0.19188340247313398,4.808045667049293,5.104184727659361,5.320707418181949,5.546415135895479,5.888032142438097,0.9292684726857721,0.9292684726857721,7,39,39,0.6480056138847564,0.0,0.608920621103945,,,,,,,,
10,20260629,20260629,20260630,20260701,603222.SH,济民健康,医疗保健,7.68,TOP10,1,1,TOP10,只观察不追,≤7.76,只观察不追,≤7.76,冲高至8.39附近优先兑现；强势放量再看8.81；弱于7.56止损,冲高至8.39附近优先兑现；强势放量再看8.81；弱于7.56止损,只观察不追,≤7.76,只观察不追,≤7.76,冲高至8.39附近优先兑现；强势放量再看8.81；弱于7.56止损,冲高至8.39附近优先兑现；强势放量再看8.81；弱于7.56止损,0.460467,0.460467,61.9886,61.9886,0.707483,0.707483,64.141,64.141,0.635333,52.843,0.777846,64.5208,0.7573669664306921,0.9558861729410602,0.6398282977152127,0.6808569500662415,0.7183603416744666,0.7442053793361533,0.6272637240984973,0.352342648164391,0.49306645522817477,0.07728766641878487,0.10706352778835902,0.01055168386136091,0.04819960985330827,0.6906442053180478,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.63848,0.460467,historical_bin_blend_v1,51.6079,76.6051,73.7969,66.1072,60.243,60.243,12,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.721451,0.678525,0.680857,0.706232,0.301972,0.207582,75.7783,41.7819,60.65,74.65,0.292,0.0,76.3227,76.3227,0.168614,72.999,89.4985,62.6746,74.549,52.9101,0.529101,1,0,ELIGIBLE,ok,professional_score_rule_guarded,10,5506.0,0.44605884489647657,-0.0004935864819946849,-0.0031299594427791066,199.0,0.036142390119869236,343.0,0.06229567744278968,3537407779.76045,0.4178186772234361,0.0,0.09289829527921169,0.09289829527921169,up,high,0.960205,ehx:model_v1,-0.029747533737148918,0.04020787978568395,0.08883315388521229,0.13745842798474062,0.20741384150757475,7.454903571732359,7.9950885903622995,8.393458907744346,8.811678775006598,9.450176217319186,0.8910666063297965,0.8910666063297965,10,40,40,0.6351073193628654,0.0,0.5963108984412901,,,,,,,,
