rank,trade_date,target_date,ts_code,name,close_T,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,eret_plus_conf_score,eret_plus_src,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,rank_eret_plus,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
1,20260420,20260422,600330.SH,天通股份,23.9,0.0,0.026096474462125794,0.026096474462125794,up,high,1.0,ehx:coldstart_v1,-0.05648090923843941,-0.007962715492926459,0.025761772018244665,0.05948625952941579,0.10800445327492961,22.5875201882801,23.7104467804463,24.523705739644804,25.364859159915298,26.625859686745976,1,1,0.9090895639330216,0.0,0.0,,,,,,,,
2,20260420,20260422,003018.SZ,金富科技,43.14,0.0,0.01782772785761691,0.01782772785761691,up,high,1.0,ehx:coldstart_v1,-0.06457200352176845,-0.016053809776255503,0.01767067773491562,0.05139516524608674,0.09991335899160057,40.44239586949401,42.452968141005734,43.90908817977759,45.41515256072761,47.67294279500875,2,2,0.6642451382872934,0.0,0.0,,,,,,,,
3,20260420,20260422,600961.SH,株冶集团,24.3,0.0,0.017812263976443032,0.017812263976443032,up,high,1.0,ehx:coldstart_v1,-0.06458719666125894,-0.01606900291574599,0.017655484595425135,0.051379972106596256,0.09989816585211009,22.780141137713436,23.912643778269366,24.732838014627568,25.581164589324974,26.852918625911904,3,3,0.6637872399762959,0.0,0.0,,,,,,,,
4,20260420,20260422,603178.SH,圣龙股份,19.16,0.0,0.012106131424366387,0.012106131424366387,up,high,1.0,ehx:coldstart_v1,-0.0702092429412149,-0.021691049195701945,0.012033438315469177,0.0457579258266403,0.09427611957215412,17.860927925279775,18.74887448873065,19.391953478090862,20.05708982277686,21.0542174107424,4,4,0.4948239358390322,0.0,0.0,,,,,,,,
5,20260420,20260422,603778.SH,国晟科技,26.68,0.0,0.01017167015588018,0.01017167015588018,up,high,1.0,ehx:coldstart_v1,-0.07212239439549004,-0.023604200649977092,0.010120286861194032,0.043844774372365156,0.09236296811787897,24.823525853861543,26.057614282350904,26.951380159758884,27.875801853734075,29.26163256549836,5,5,0.4375429377784388,0.0,0.0,,,,,,,,
6,20260420,20260422,600156.SH,华升股份,10.19,0.0,0.007515921587347833,0.007515921587347833,up,high,1.0,ehx:coldstart_v1,-0.07475486347848509,-0.02623666973297214,0.0074878177781989835,0.04121230528937011,0.08973049903488393,9.45602385839189,9.9261250717272,10.266587240975074,10.618727128149265,11.14663151817357,6,6,0.3589040262211305,0.0,0.0,,,,,,,,
7,20260420,20260422,001896.SZ,豫能控股,18.79,0.0,0.006658410228202283,0.006658410228202283,up,high,1.0,ehx:coldstart_v1,-0.07560634033171407,-0.02708814658620112,0.0066363409249700035,0.040360828436141125,0.08887902218165496,17.42173340531619,18.28784564603089,18.91511152818792,19.56389238233968,20.53650092100548,7,7,0.3335124056700554,0.0,0.0,,,,,,,,
8,20260420,20260422,603773.SH,沃格光电,58.19,0.0,0.00631255132762828,0.00631255132762828,up,high,1.0,ehx:coldstart_v1,-0.07594997062801004,-0.027431776882497087,0.006292710628674035,0.04001719813984516,0.08853539188535899,53.934133283011654,56.615440127857525,58.55732736175469,60.565820560750005,63.5768182230486,8,8,0.3232712375806465,0.0,0.0,,,,,,,,
9,20260420,20260422,603108.SH,润达医疗,14.1,0.0,0.004699734446491721,0.004699734446491721,up,high,1.0,ehx:coldstart_v1,-0.07755395608183288,-0.029035762336319937,0.004688725174851187,0.03841321268602231,0.08693140643153613,13.0478170159168,13.696482322013301,14.16626625569553,14.652163592743477,15.380588138417972,9,9,0.275514395846219,0.0,0.0,,,,,,,,
10,20260420,20260422,605299.SH,舒华体育,20.53,0.0,0.004590491521924959,0.004590491521924959,up,high,1.0,ehx:coldstart_v1,-0.07766269390702363,-0.02914450016151067,0.004579987349660453,0.03830447486083158,0.0868226686063454,18.995926038020162,19.94029843096585,20.62424279094512,21.331646172321033,22.392137653542104,10,10,0.2722796225001809,0.0,0.0,,,,,,,,
11,20260420,20260422,002081.SZ,金 螳 螂,4.08,0.0,0.003539676363559931,0.003539676363559931,up,high,1.0,ehx:coldstart_v1,-0.07870925480340592,-0.030191061057892963,0.00353342645327816,0.03725791396444928,0.0857761077099631,3.771179184590706,3.958661358592163,4.094441879563325,4.234879618771956,4.445414414043958,11,11,0.2411641165818578,0.0,0.0,,,,,,,,
12,20260420,20260422,002309.SZ,中利集团,4.38,0.0,0.003459586416578951,0.003459586416578951,up,high,1.0,ehx:coldstart_v1,-0.07878906544261119,-0.03027087169709823,0.0034536158140728917,0.037178103325244016,0.08569629707075783,4.04814867346657,4.249400238781677,4.395152988504615,4.545904999972287,4.771902257191295,12,12,0.238792587013173,0.0,0.0,,,,,,,,
13,20260420,20260422,600590.SH,泰豪科技,17.42,0.0,0.003221557429194858,0.003221557429194858,up,high,1.0,ehx:coldstart_v1,-0.07902630192557758,-0.030508108180064622,0.0032163793311065017,0.036940866842277625,0.08545906058779146,16.096352113210354,16.896573725593154,17.47611953041658,18.0755435274311,18.974159591771887,13,13,0.2317443518342992,0.0,0.0,,,,,,,,
14,20260420,20260422,603025.SH,大豪科技,16.89,0.0,0.003174061598715343,0.003174061598715343,up,high,1.0,ehx:coldstart_v1,-0.07907364635759083,-0.030555452612077885,0.00316903489909324,0.03689352241026436,0.0854117161557782,15.605884964970336,16.38172326308261,16.9436099004023,17.524769027442897,18.396003629490863,14,14,0.2303379610122631,0.0,0.0,,,,,,,,
15,20260420,20260422,002885.SZ,京泉华,29.3,0.0,0.0028295288102080083,0.0028295288102080083,up,high,1.0,ehx:coldstart_v1,-0.07941714802781948,-0.030898954282306518,0.0028255332288646055,0.03655002074003573,0.08506821448554955,27.06307812159182,28.40850470385006,29.382905194139095,30.39072723636736,31.901586130328383,15,15,0.2201360601979123,0.0,0.0,,,,,,,,
16,20260420,20260422,603699.SH,纽威股份,56.32,0.0,0.002561026331962462,0.002561026331962462,up,high,1.0,ehx:coldstart_v1,-0.07968492876425658,-0.031166735018743626,0.002557752492427499,0.03628224000359862,0.08480043374911245,52.006295735300704,54.591761158438665,56.46423700301612,58.40093802945483,61.30430970434783,16,16,0.212185479751459,0.0,0.0,,,,,,,,
17,20260420,20260422,003006.SZ,百亚股份,18.33,0.0,0.002222317278833352,0.002222317278833352,up,high,1.0,ehx:coldstart_v1,-0.08002282967253307,-0.03150463592702012,0.0022198515841509994,0.035944339095322124,0.08446253284083595,16.92033633911984,17.761521890486932,18.370735075721015,19.000844032575984,19.945460921013932,17,17,0.2021560245581914,0.0,0.0,,,,,,,,
18,20260420,20260422,600979.SH,广安爱众,4.84,0.0,0.0022166426401285196,0.0022166426401285196,up,high,1.0,ehx:coldstart_v1,-0.08002849174438292,-0.03151029799886997,0.0022141895123011517,0.035938677023472275,0.0844568707689861,4.46775582054108,4.68986793273275,4.850728550378221,5.017106623670724,5.266529419820625,18,18,0.2019879938129181,0.0,0.0,,,,,,,,
19,20260420,20260422,600103.SH,青山纸业,4.73,0.0,0.0019115889744670135,0.0019115889744670135,flat,high,1.0,ehx:coldstart_v1,-0.08033291704332864,-0.03181472329781568,0.0019097642133554427,0.03563425172452657,0.08415244547004039,4.364886931241919,4.581884971134473,4.739041815849229,4.901589078262442,5.145268980880009,19,19,0.1929551024773332,0.0,0.0,,,,,,,,
20,20260420,20260422,603318.SH,水发燃气,8.47,0.0,0.0014846495934431473,0.0014846495934431473,flat,high,1.0,ehx:coldstart_v1,-0.08075913266584792,-0.032240938920334965,0.0014835485908361575,0.03520803610200728,0.08372622984752111,7.812862203205313,8.201274505918455,8.482574982056464,8.773523953415351,9.20969504577853,20,20,0.1803130743040028,0.0,0.0,,,,,,,,
