rank,trade_date,base_date,buy_date,target_date,ts_code,name,晋阶,sector,close_T,rank_group,is_top10,is_top20,榜单分组,T日建议买入方式,T日可接受买入价,T+1建议买入方式,T+1可接受买入价,T+1卖出计划,T+2卖出计划,t_buy_method,t_max_buy_price,t1_buy_method,t1_max_buy_price,t1_sell_plan,t2_sell_plan,t_limitup_prob,T日涨停概率,t_limitup_strength,T日涨停强度,t1_continue_up_rate,T+1延续上涨率,limitup_continuation_score,涨停接力评分,t_limitup_prob_rule,t_limitup_strength_rule,t1_continue_up_rate_rule,limitup_continuation_score_rule,t_up_prob_model,t_high_profit_prob_model,t_limitup_prob_model,t_touch_limitup_prob_model,t1_up_prob_model,t1_high_profit_prob_model,t1_accept_prob_model,t1_fail_prob_model,t1_big_drawdown_prob_model,t_close_ret_pred,t_intraday_ret_pred,t1_close_ret_pred,t1_high_ret_pred,limitup_model_score,limitup_model_src,model_can_rank,model_rank_mode,model_quality_flag,t_limitup_prob_raw_before_calibration,t_limitup_prob_calibrated,limitup_calibration_src,limitup_alpha_score,t1_alpha_score,strength_alpha_score,execution_alpha_score,premium_adaptive_score,自适应排序评分,rank_adaptive_score,adaptive_weight_limitup,adaptive_weight_t1,adaptive_weight_strength,adaptive_weight_execution,t_up_prob_model_blend,t_high_profit_prob_model_blend,t_touch_limitup_prob_blend,t1_accept_prob_blend,t1_fail_prob_blend,t1_big_drawdown_prob_blend,eret_plus_score,market_score,intraday_attack_edge,intraday_execution_edge,intraday_risk_penalty,intraday_hard_risk_flag,execution_safety_score,execution_score,risk_penalty_score,t1_close_ret_pred_score,t1_high_ret_pred_score,t_up_attack_score,t1_accept_score,premium_final_score,premium_final_score_raw,premium_eligible,premium_force_excluded,premium_bucket,premium_exclude_reason,premium_rank_mode,rank_premium_final,mkt_stock_count,mkt_up_ratio,mkt_avg_ret,mkt_median_ret,mkt_strong_count,mkt_strong_ratio,mkt_touch_strong_count,mkt_touch_strong_ratio,mkt_amount_sum,mkt_emotion_score,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,eret_plus_conf_score,eret_plus_src,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,t1_up_rate,T+1上涨率,rank_limitup_continuation,rank_eret_plus,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
1,20260707,20260707,20260708,20260709,600094.SH,大名城,1→2,房地产开发,3.84,TOP10,1,1,TOP10,限价竞价,≤4.00,限价竞价,≤4.00,冲高至4.25附近优先兑现；强势放量再看4.49；弱于3.78止损,冲高至4.25附近优先兑现；强势放量再看4.49；弱于3.78止损,限价竞价,≤4.00,限价竞价,≤4.00,冲高至4.25附近优先兑现；强势放量再看4.49；弱于3.78止损,冲高至4.25附近优先兑现；强势放量再看4.49；弱于3.78止损,0.544703,0.544703,72.003,72.003,0.780761,0.780761,72.6983,72.6983,0.684089,55.7954,0.770009,68.6833,0.7778066976449138,0.9863524136218998,0.8040693049994136,0.8280810427805384,0.7574924592980535,0.8330041277227591,0.8405528553119369,0.22545667440250897,0.2974391546200404,0.073981955511514,0.09674488423949816,0.06195050306284449,0.08662578197240213,0.8080107405661663,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.768075,0.544703,historical_bin_blend_v1,61.3244,82.1815,81.9897,85.7762,70.4133,70.4133,2,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.779934,0.770381,0.828081,0.858023,0.162823,0.124119,98.0303,9.9238,60.65,74.65,0.292,0.0,87.1072,87.1072,0.123174,94.7356,98.0303,68.6559,83.3414,66.2618,0.662618,1,0,ELIGIBLE,ok,professional_score_rule_guarded,1,5515.0,0.12511332728921123,-0.026513328156760097,-0.02910958904109584,48.0,0.00870353581142339,118.0,0.021396192203082504,2598462597.9926395,0.09923844061650045,0.0,0.10768710364963016,0.10768710364963016,up,high,0.947532,ehx:model_v1,-0.03043205570487892,0.047856557342477936,0.10227415101529824,0.15669174468811856,0.23498035773547682,3.7249011363225186,4.028237453916369,4.25351847801458,4.491398446539315,4.857154265488395,0.8975398421394861,0.8975398421394861,2,2,2,0.5734247253620207,0.0,0.49928,,,,22,,,0.8094245747805101,
2,20260707,20260707,20260708,20260709,600120.SH,浙江东方,1→2,多元金融,4.88,TOP10,1,1,TOP10,市价竞价,≤5.07,市价竞价,≤5.07,冲高至5.34附近优先兑现；强势放量再看5.55；弱于4.81止损,冲高至5.34附近优先兑现；强势放量再看5.55；弱于4.81止损,市价竞价,≤5.07,市价竞价,≤5.07,冲高至5.34附近优先兑现；强势放量再看5.55；弱于4.81止损,冲高至5.34附近优先兑现；强势放量再看5.55；弱于4.81止损,0.64387,0.64387,75.5527,75.5527,0.781764,0.781764,77.458,77.458,0.918522,67.192,0.853179,82.9047,0.7912614674007826,0.9803872724249931,0.8239418008118132,0.8112654343624061,0.7230536771511398,0.8447653884754638,0.8537953602319891,0.2091760146817523,0.3796933480768679,0.06920349963920928,0.10108236801481293,0.05107523176197819,0.0935443663665523,0.8107927990103746,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.852316,0.64387,historical_bin_blend_v1,68.5167,80.1513,85.3316,85.0039,75.1833,75.1833,1,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.784423,0.798357,0.811265,0.845389,0.173382,0.144999,92.1212,9.9238,60.65,74.65,0.292,0.0,87.033,87.033,0.129669,89.5939,100.0,69.913,82.3222,64.4436,0.644436,1,0,ELIGIBLE,ok,professional_score_rule_guarded,2,5515.0,0.12511332728921123,-0.026513328156760097,-0.02910958904109584,48.0,0.00870353581142339,118.0,0.021396192203082504,2598462597.9926395,0.09923844061650045,0.0,0.09479576505801421,0.09479576505801421,up,high,0.988571,ehx:model_v1,-0.0020660339285334672,0.05258232731237805,0.090567829943451,0.12855333257452395,0.18320169381543644,4.869928162390502,5.143467933404337,5.342603333483109,5.54944849438434,5.8611563512127365,0.9461008144600144,0.9461008144600144,1,5,5,0.6125699424349362,0.0,0.547195,,,,13,,,0.7754449268766133,
3,20260707,20260707,20260708,20260709,002129.SZ,TCL中环,1→2,光伏设备,11.02,TOP10,1,1,TOP10,只观察不追,≤11.13,只观察不追,≤11.13,冲高至12.04附近优先兑现；强势放量再看12.56；弱于10.85止损,冲高至12.04附近优先兑现；强势放量再看12.56；弱于10.85止损,只观察不追,≤11.13,只观察不追,≤11.13,冲高至12.04附近优先兑现；强势放量再看12.56；弱于10.85止损,冲高至12.04附近优先兑现；强势放量再看12.56；弱于10.85止损,0.463258,0.463258,52.9349,52.9349,0.722966,0.722966,62.739,62.739,0.377498,37.1734,0.761869,51.7993,0.7928868452433363,0.9744398574263282,0.7564651137641063,0.6344253054250172,0.7344865311405295,0.7788887895639498,0.6664988398367597,0.2435415868897967,0.3121075874583768,0.058396473328199944,0.09942983949955943,0.022875903364594597,0.0564642609029985,0.7255637143553214,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.642775,0.463258,historical_bin_blend_v1,50.0677,74.3136,54.7912,88.7277,57.0803,57.0803,18,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.742544,0.668009,0.634425,0.733052,0.238789,0.142025,89.1667,9.9238,58.39,72.89,0.313,0.0,88.6333,88.6333,0.144567,73.4903,67.5293,59.3417,71.669,55.6228,0.556228,1,0,ELIGIBLE,ok,professional_score_rule_guarded,3,5515.0,0.12511332728921123,-0.026513328156760097,-0.02910958904109584,48.0,0.00870353581142339,118.0,0.021396192203082504,2598462597.9926395,0.09923844061650045,0.0,0.09214161969250106,0.09214161969250106,up,high,0.971701,ehx:model_v1,-0.016365354232920876,0.045286795049088606,0.08814055727700076,0.13099431950491291,0.1926464687869235,10.84112149373718,11.530533441942628,12.035400649011361,12.562373589353996,13.361243932733556,0.9173208586294336,0.9173208586294336,15,7,7,0.593008336580231,0.0,0.505427,,,,19,,,0.8418173819523971,
4,20260707,20260707,20260708,20260709,601121.SH,宝地矿业,1→2,冶钢原料,6.47,TOP10,1,1,TOP10,限价竞价,≤6.71,限价竞价,≤6.71,冲高至7.05附近优先兑现；强势放量再看7.33；弱于6.37止损,冲高至7.05附近优先兑现；强势放量再看7.33；弱于6.37止损,限价竞价,≤6.71,限价竞价,≤6.71,冲高至7.05附近优先兑现；强势放量再看7.33；弱于6.37止损,冲高至7.05附近优先兑现；强势放量再看7.33；弱于6.37止损,0.514998,0.514998,67.8418,67.8418,0.727024,0.727024,66.1331,66.1331,0.474044,48.9789,0.808359,59.7128,0.7249369276438189,0.9770861432353753,0.8288030416841701,0.8041702113812399,0.6836839070438578,0.661288618079358,0.7573022355650928,0.20993472324230064,0.37779691287677925,0.06689603633627525,0.10259943824806085,0.005316611989217407,0.0547382513794875,0.7480970289303052,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.722375,0.514998,historical_bin_blend_v1,58.3391,65.0265,71.0081,88.0865,65.1348,65.1348,5,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.72644,0.748485,0.80417,0.703197,0.24749,0.160513,86.2121,9.9238,60.65,74.65,0.292,0.0,88.7373,88.7373,0.146421,46.7022,59.1471,65.5374,65.4183,54.5279,0.545279,1,0,ELIGIBLE,ok,professional_score_rule_guarded,4,5515.0,0.12511332728921123,-0.026513328156760097,-0.02910958904109584,48.0,0.00870353581142339,118.0,0.021396192203082504,2598462597.9926395,0.09923844061650045,0.0,0.09006443139272666,0.09006443139272666,up,high,0.988224,ehx:model_v1,-0.006811624021444071,0.04808130602280187,0.08623680586351817,0.12439230570423448,0.1792852357484814,6.426078550604102,6.788686078576152,7.052716871110941,7.327016551999037,7.740461756319012,0.9363008166218374,0.9363008166218374,9,8,8,0.5754540249838882,0.0,0.503327,,,,20,,,0.8230559297885565,
5,20260707,20260707,20260708,20260709,003004.SZ,声迅股份,1→2,计算机设,79.95,TOP10,1,1,TOP10,只观察不追,≤80.75,只观察不追,≤80.75,冲高至87.56附近优先兑现；强势放量再看91.34；弱于78.75止损,冲高至87.56附近优先兑现；强势放量再看91.34；弱于78.75止损,只观察不追,≤80.75,只观察不追,≤80.75,冲高至87.56附近优先兑现；强势放量再看91.34；弱于78.75止损,冲高至87.56附近优先兑现；强势放量再看91.34；弱于78.75止损,0.445764,0.445764,60.3684,60.3684,0.733039,0.733039,66.1198,66.1198,0.598123,49.6103,0.808275,64.8395,0.8243761620072099,0.9839117382786816,0.586610657953846,0.6754048761949274,0.7326333462674319,0.775384840999929,0.6737413791839386,0.2789425081416803,0.42345353949029146,0.08033136976975308,0.11455234294178995,-0.01606125049892231,0.06740667226718487,0.7079132298383967,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.590064,0.445764,historical_bin_blend_v1,50.2891,64.5031,65.3119,88.096,59.0424,59.0424,11,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.758613,0.679116,0.675405,0.675809,0.263066,0.178287,94.0909,9.9238,60.65,74.65,0.292,0.0,88.6128,88.6128,0.153135,20.77,84.5088,60.7176,65.714,54.0773,0.540773,1,0,ELIGIBLE,ok,professional_score_rule_guarded,5,5515.0,0.12511332728921123,-0.026513328156760097,-0.02910958904109584,48.0,0.00870353581142339,118.0,0.021396192203082504,2598462597.9926395,0.09923844061650045,0.0,0.09517235055351621,0.09517235055351621,up,high,0.973168,ehx:model_v1,-0.012112053209188303,0.04866574127115147,0.09091174864850368,0.1331577560258559,0.19393555050619676,78.98748214655228,83.93705565851768,87.55902942675363,91.33729523877008,97.06074210506726,0.9266762434690559,0.9266762434690559,10,4,4,0.6178425968528098,0.0,0.543268,,,,14,,,0.8313095946041165,
6,20260707,20260707,20260708,20260709,002585.SZ,双星新材,1→2,塑料,11.37,TOP10,1,1,TOP10,限价竞价,≤11.79,限价竞价,≤11.79,冲高至12.42附近优先兑现；强势放量再看13.07；弱于11.20止损,冲高至12.42附近优先兑现；强势放量再看13.07；弱于11.20止损,限价竞价,≤11.79,限价竞价,≤11.79,冲高至12.42附近优先兑现；强势放量再看13.07；弱于11.20止损,冲高至12.42附近优先兑现；强势放量再看13.07；弱于11.20止损,0.535239,0.535239,61.7051,61.7051,0.751837,0.751837,69.3552,69.3552,0.782492,56.9899,0.803439,73.8518,0.7987650027486033,0.9753272061723082,0.741096389900486,0.6484855901461145,0.7650020103331296,0.8020970074964232,0.6815913035819442,0.3512750643428681,0.32206298019174434,0.06695465894432821,0.10364785846860511,0.0035138658171336673,0.05086436446867604,0.7366448683127407,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.753515,0.535239,historical_bin_blend_v1,56.3805,68.4097,73.3867,86.9672,64.6742,64.6742,7,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.764977,0.699232,0.648486,0.698366,0.27741,0.155112,89.1667,9.9238,60.65,74.65,0.292,0.0,87.8189,87.8189,0.150618,42.237,56.0476,62.2749,66.0024,53.8329,0.538329,1,0,ELIGIBLE,ok,professional_score_rule_guarded,6,5515.0,0.12511332728921123,-0.026513328156760097,-0.02910958904109584,48.0,0.00870353581142339,118.0,0.021396192203082504,2598462597.9926395,0.09923844061650045,0.0,0.09214161969250106,0.09214161969250106,up,high,0.953577,ehx:model_v1,-0.03669044047408386,0.03695227692991106,0.08814055727700076,0.13932883762409048,0.21297155502808673,10.960390026962328,11.798006596398992,12.417650215903738,13.06983816499973,14.068663296215774,0.8772597050861286,0.8772597050861286,4,6,6,0.6355495653659533,0.0,0.564825,,,,4,,,0.8244922716574036,
7,20260707,20260707,20260708,20260709,688432.SH,有研硅,1→2,半导体,46.14,TOP10,1,1,TOP10,只观察不追,≤46.60,只观察不追,≤46.60,冲高至49.39附近优先兑现；强势放量再看51.82；弱于45.45止损,冲高至49.39附近优先兑现；强势放量再看51.82；弱于45.45止损,只观察不追,≤46.60,只观察不追,≤46.60,冲高至49.39附近优先兑现；强势放量再看51.82；弱于45.45止损,冲高至49.39附近优先兑现；强势放量再看51.82；弱于45.45止损,0.407942,0.407942,58.2457,58.2457,0.76985,0.76985,63.4537,63.4537,0.016956,36.2663,0.643889,34.3077,0.7935746050240281,0.9653674278098894,0.752555460497959,0.7289869968883982,0.7875659018747951,0.8809247210522392,0.8316427390592428,0.16485577704161106,0.23509644747518613,0.07116242387917128,0.10784429687537465,0.03117314598736489,0.08621756969448924,0.7948585663177348,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.531876,0.407942,historical_bin_blend_v1,48.3182,82.1094,59.1898,89.8921,57.775,57.775,14,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.776493,0.679597,0.728987,0.790744,0.223184,0.118924,62.7608,9.9238,53.87,69.37,0.355,0.0,88.4983,88.4983,0.144236,81.8194,96.0606,58.9294,78.8083,52.7363,0.527363,1,0,ELIGIBLE,ok,professional_score_rule_guarded,7,5515.0,0.12511332728921123,-0.026513328156760097,-0.02910958904109584,48.0,0.00870353581142339,118.0,0.021396192203082504,2598462597.9926395,0.09923844061650045,0.0,0.07050453250539788,0.07050453250539788,up,high,0.954725,ehx:model_v1,-0.049028872518326494,0.02008779352287774,0.06813006304648188,0.11617233257008602,0.1852889986112915,43.93236886785207,47.07622263484395,49.39307912979906,51.82395972689704,55.5325453371546,0.8305933027718908,0.8305933027718908,14,20,20,0.5208829477421807,0.0,0.453708,,,,25,,,0.8688725888526188,
8,20260707,20260707,20260708,20260709,301251.SZ,威尔高,1→2,元件,50.77,TOP10,1,1,TOP10,只观察不追,≤51.28,只观察不追,≤51.28,冲高至54.35附近优先兑现；强势放量再看56.80；弱于50.01止损,冲高至54.35附近优先兑现；强势放量再看56.80；弱于50.01止损,只观察不追,≤51.28,只观察不追,≤51.28,冲高至54.35附近优先兑现；强势放量再看56.80；弱于50.01止损,冲高至54.35附近优先兑现；强势放量再看56.80；弱于50.01止损,0.418483,0.418483,49.3915,49.3915,0.769577,0.769577,60.9424,60.9424,0.017158,15.6966,0.643925,28.4029,0.7812025624034492,0.9639210176463661,0.775637216034714,0.7185474789600782,0.8083594641210321,0.8613297539944509,0.7847770586905347,0.184917800672978,0.2507194177171639,0.059162425162070556,0.10094404296133497,0.024713399628141272,0.0770086550269437,0.7859106590267564,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.548093,0.418483,historical_bin_blend_v1,48.0038,82.3847,46.6046,80.8738,53.5633,53.5633,22,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.772832,0.679229,0.718547,0.7714,0.235449,0.124018,62.7608,9.9238,60.65,74.65,0.292,0.0,84.6079,84.6079,0.136225,77.9657,93.2184,58.8505,77.6698,52.7262,0.527262,1,0,ELIGIBLE,ok,professional_score_rule_guarded,8,5515.0,0.12511332728921123,-0.026513328156760097,-0.02910958904109584,48.0,0.00870353581142339,118.0,0.021396192203082504,2598462597.9926395,0.09923844061650045,0.0,0.07050453250539788,0.07050453250539788,up,high,0.972595,ehx:model_v1,-0.039321699480347236,0.024068323229422324,0.06813006304648188,0.11219180286354144,0.17558182557331214,48.81237806062349,52.00677258857924,54.349515115299056,56.79779086919911,60.5147692169291,0.8515081654919219,0.8515081654919219,20,19,19,0.5567586584841847,0.0,0.471331,,,,24,,,0.7205068071626486,
9,20260707,20260707,20260708,20260709,002137.SZ,实益达,1→2,光学光电,11.43,TOP10,1,1,TOP10,只观察不追,≤11.54,只观察不追,≤11.54,冲高至12.68附近优先兑现；强势放量再看13.34；弱于11.26止损,冲高至12.68附近优先兑现；强势放量再看13.34；弱于11.26止损,只观察不追,≤11.54,只观察不追,≤11.54,冲高至12.68附近优先兑现；强势放量再看13.34；弱于11.26止损,冲高至12.68附近优先兑现；强势放量再看13.34；弱于11.26止损,0.392102,0.392102,45.396,45.396,0.679114,0.679114,56.9869,56.9869,0.100329,24.1917,0.719375,36.6423,0.7015326866328503,0.9749964577917314,0.6820122881489624,0.595322565163639,0.6729265691098566,0.8530718741006444,0.6605164134960404,0.47322550739576597,0.5298411978320652,0.06176995952666771,0.10303285265583544,0.010506456533233906,0.04252582711718483,0.6900327706355868,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.507507,0.392102,historical_bin_blend_v1,43.4868,65.4121,36.9346,91.4306,48.6343,48.6343,28,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.685391,0.628472,0.595323,0.703902,0.307829,0.21998,100.0,9.9238,56.13,71.13,0.334,0.0,89.6478,89.6478,0.177925,62.0038,39.8276,55.7789,64.9701,51.1417,0.511417,1,0,ELIGIBLE,ok,professional_score_rule_guarded,9,5515.0,0.12511332728921123,-0.026513328156760097,-0.02910958904109584,48.0,0.00870353581142339,118.0,0.021396192203082504,2598462597.9926395,0.09923844061650045,0.0,0.10914679426209829,0.10914679426209829,up,high,0.952472,ehx:model_v1,-0.020931444140847993,0.05252928424844407,0.10359106594049916,0.15465284763255424,0.22811357602184765,11.19324010091775,12.046459050892125,12.677547858415783,13.341698089325273,14.358685979517684,0.9144009421151937,0.9144009421151937,26,1,1,0.5019660812338946,0.0,0.417885,,,,29,,,0.8937547466826345,
10,20260707,20260707,20260708,20260709,600360.SH,华微电子,1→2,半导体,15.32,TOP10,1,1,TOP10,只观察不追,≤15.47,只观察不追,≤15.47,冲高至16.46附近优先兑现；强势放量再看17.26；弱于15.09止损,冲高至16.46附近优先兑现；强势放量再看17.26；弱于15.09止损,只观察不追,≤15.47,只观察不追,≤15.47,冲高至16.46附近优先兑现；强势放量再看17.26；弱于15.09止损,冲高至16.46附近优先兑现；强势放量再看17.26；弱于15.09止损,0.46133,0.46133,60.294,60.294,0.732477,0.732477,62.0339,62.0339,0.438242,51.9958,0.753308,57.9721,0.7042780933520386,0.9655545500455179,0.7261944397087432,0.6582609681112691,0.7429641184023918,0.5955090402843255,0.6927414364048023,0.3739145322955355,0.45469543170197757,0.05583844795654057,0.10476414928418648,0.019991810583750925,0.049983432670561934,0.6887413403458447,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.639809,0.46133,historical_bin_blend_v1,51.0939,72.3995,56.7825,91.6425,58.3543,58.3543,12,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.724581,0.673408,0.658261,0.710286,0.293493,0.194907,81.6354,9.9238,58.39,72.89,0.313,0.0,90.1566,90.1566,0.166048,68.7097,51.8512,59.5368,67.6903,50.7867,0.507867,1,0,ELIGIBLE,ok,professional_score_rule_guarded,10,5515.0,0.12511332728921123,-0.026513328156760097,-0.02910958904109584,48.0,0.00870353581142339,118.0,0.021396192203082504,2598462597.9926395,0.09923844061650045,0.0,0.07443831765682173,0.07443831765682173,up,high,0.961131,ehx:model_v1,-0.04443801435013682,0.024134201748569707,0.07179802982848511,0.11946185790840053,0.18803407400710828,14.654114510093759,15.694233722371218,16.46039502650251,17.26395880305343,18.48931944962503,0.8451882333893141,0.8451882333893141,17,9,9,0.6381058470496511,0.0,0.560306,,,,8,,,0.8923529908322162,
