rank,trade_date,target_date,ts_code,name,close_T,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,eret_plus_conf_score,eret_plus_src,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,rank_eret_plus,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
1,20260529,20260602,600726.SH,华电能源,10.13,0.0,0.02275278251093476,0.02275278251093476,up,high,1.0,ehx:coldstart_v1,-0.05974488281611377,-0.011226689070600822,0.022497798440570302,0.056222285951741426,0.10474047969725525,9.542508872689623,10.016909642663698,10.360485686835771,10.71584625361411,11.248578869476548,1,1,0.6123408057205417,0.0,0.0,,,,,,,,
2,20260529,20260602,002081.SZ,金 螳 螂,6.16,0.0,0.019108639001395,0.019108639001395,up,high,1.0,ehx:coldstart_v1,-0.06331431935110833,-0.014796125605595376,0.018928361905575748,0.052652849416746875,0.1011710431622607,5.782074094492904,6.069526842933624,6.277709216248594,6.493032162738474,6.81582981465215,2,2,0.5346917526222001,0.0,0.0,,,,,,,,
3,20260529,20260602,600162.SH,香江控股,2.79,0.0,0.010386033233353676,0.010386033233353676,up,high,1.0,ehx:coldstart_v1,-0.0719102123054481,-0.023392018559935147,0.010332468951235975,0.0440569564624071,0.09257515020792093,2.5964143149030887,2.7254936761690702,2.818977032721057,2.915666831477859,3.0606176623646566,3,3,0.348831322958693,0.0,0.0,,,,,,,,
4,20260529,20260602,603060.SH,国检集团,6.96,0.0,0.0093346296956315,0.0093346296956315,up,high,1.0,ehx:coldstart_v1,-0.0729513499756162,-0.024433156230103246,0.009291331281067877,0.043015818792239,0.09153401253775283,6.47033655135356,6.792005902978524,7.024969022681596,7.265922685372563,7.627144179897761,4,4,0.3264281193212259,0.0,0.0,,,,,,,,
5,20260529,20260602,000025.SZ,特  力Ａ,15.66,0.0,0.006384063882360696,0.006384063882360696,up,high,1.0,ehx:coldstart_v1,-0.07587890919309523,-0.02736071544758227,0.006363772063588852,0.04008825957475998,0.0886064533202738,14.515699406056358,15.237339707031467,15.759974440397768,16.300535338683453,17.11090781187997,5,5,0.2635577518658697,0.0,0.0,,,,,,,,
6,20260529,20260602,000799.SZ,酒鬼酒,45.74,0.0,0.005664920762766645,0.005664920762766645,up,high,1.0,ehx:coldstart_v1,-0.0765937458155683,-0.02807555207005534,0.005648935441115783,0.03937342295228691,0.08789161669780073,42.36741034596022,44.47368369168949,45.999113475688944,47.576864898751275,49.94212351596008,6,6,0.2482343206858178,0.0,0.0,,,,,,,,
7,20260529,20260602,603324.SH,盛剑科技,34.29,0.0,0.003078131036263499,0.003078131036263499,up,high,1.0,ehx:coldstart_v1,-0.07916927796649535,-0.030651084220982408,0.0030734032901887174,0.03679789080135984,0.08531608454687367,31.679965835106017,33.25491854255797,34.39554911323348,35.57530286194638,37.34391018470926,7,7,0.193115258469507,0.0,0.0,,,,,,,,
8,20260529,20260602,603435.SH,嘉德利,80.4,0.0,0.002954752037945214,0.002954752037945214,up,high,1.0,ehx:coldstart_v1,-0.07929228591867286,-0.03077409217315992,0.0029503953380112047,0.03667488284918233,0.08519307659469616,74.27109835633267,77.96344663885867,80.6375620638508,83.40339859167341,87.54975433922571,8,8,0.1904863108535426,0.0,0.0,,,,,,,,
9,20260529,20260602,601566.SH,九牧王,12.06,0.0,0.002677196422307143,0.002677196422307143,up,high,1.0,ehx:coldstart_v1,-0.07956906214137216,-0.031050868395859205,0.0026736191153119188,0.036398106626483046,0.08491630037199686,11.13758170901746,11.69128067947677,12.092286988853024,12.507047656247718,13.12882890029849,9,9,0.1845721829713656,0.0,0.0,,,,,,,,
10,20260529,20260602,600863.SH,华能蒙电,7.3,0.0,0.002150107890591009,0.002150107890591009,up,high,1.0,ehx:coldstart_v1,-0.08009488154010702,-0.03157668779459406,0.002147799716577059,0.035872287227748184,0.084390480973262,6.738109976039604,7.073091541521998,7.315695787601314,7.566621263495089,7.942791828426678,10,10,0.1733410321454965,0.0,0.0,,,,,,,,
