rank,trade_date,base_date,buy_date,target_date,ts_code,name,sector,close_T,upD,rank_group,is_top10,is_top20,榜单分组,T日建议买入方式,T日可接受买入价,T+1建议买入方式,T+1可接受买入价,T+1卖出计划,T+2卖出计划,t_buy_method,t_max_buy_price,t1_buy_method,t1_max_buy_price,t1_sell_plan,t2_sell_plan,t_limitup_prob,T日涨停概率,t_limitup_strength,T日涨停强度,t1_continue_up_rate,T+1延续上涨率,limitup_continuation_score,涨停接力评分,t_limitup_prob_rule,t_limitup_strength_rule,t1_continue_up_rate_rule,limitup_continuation_score_rule,t_limitup_prob_model,t_touch_limitup_prob_model,t1_up_prob_model,t1_high_profit_prob_model,t1_close_ret_pred,t1_high_ret_pred,limitup_model_score,limitup_model_src,t_limitup_prob_raw_before_calibration,t_limitup_prob_calibrated,limitup_calibration_src,limitup_alpha_score,t1_alpha_score,strength_alpha_score,execution_alpha_score,premium_adaptive_score,自适应排序评分,rank_adaptive_score,adaptive_weight_limitup,adaptive_weight_t1,adaptive_weight_strength,adaptive_weight_execution,mkt_stock_count,mkt_up_ratio,mkt_avg_ret,mkt_median_ret,mkt_strong_count,mkt_strong_ratio,mkt_touch_strong_count,mkt_touch_strong_ratio,mkt_amount_sum,mkt_emotion_score,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,eret_plus_conf_score,eret_plus_src,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,t1_up_rate,T+1上涨率,rank_limitup_continuation,rank_eret_plus,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
1,20260612,20260612,20260615,20260616,603335.SH,迪生力,汽车配件,8.05,1,TOP10,1,1,TOP10,市价竞价,≤8.35,市价竞价,≤8.35,冲高至8.84附近优先兑现；强势放量再看9.14；弱于7.93止损,冲高至8.84附近优先兑现；强势放量再看9.14；弱于7.93止损,市价竞价,≤8.35,市价竞价,≤8.35,冲高至8.84附近优先兑现；强势放量再看9.14；弱于7.93止损,冲高至8.84附近优先兑现；强势放量再看9.14；弱于7.93止损,0.783043,0.783043,80.2963,80.2963,0.702474,0.702474,77.1346,77.1346,0.979091,64.3727,0.849299,83.0393,0.6990222217448362,0.9091210242583887,0.6395495080130869,0.761434177763413,0.011777425687134123,0.06578678364881822,0.7460405373430735,limitup_probability_engine:model_v1,0.783043,0.783043,historical_bin_blend_v1,80.7729,58.1154,87.743,67.5,79.4648,79.4648,1,0.5690171449320871,0.0680499244844073,0.2495163897761601,0.1134165408073455,5508.0,0.7076978939724038,0.010574125748734375,0.012759170653907415,131.0,0.023783587509077705,329.0,0.059731299927378356,3235341964.0785704,0.5652099103001914,0.0,0.09762060659773199,0.09762060659773199,up,high,1.0,ehx:model_v1,0.010902070789193488,0.05942026453470644,0.09314475204587756,0.12686923955704868,0.1753874333025625,8.138241805057998,8.542830182188482,8.835845883111745,9.138911906838631,9.593248067608434,0.9687614826650801,0.9687614826650801,2,13,13,0.9304377155877424,0.0,0.0,,,,,,,,
2,20260612,20260612,20260615,20260616,601996.SH,丰林集团,家居用品,2.71,1,TOP10,1,1,TOP10,市价竞价,≤2.83,市价竞价,≤2.83,冲高至3.04附近优先兑现；强势放量再看3.14；弱于2.67止损,冲高至3.04附近优先兑现；强势放量再看3.14；弱于2.67止损,市价竞价,≤2.83,市价竞价,≤2.83,冲高至3.04附近优先兑现；强势放量再看3.14；弱于2.67止损,冲高至3.04附近优先兑现；强势放量再看3.14；弱于2.67止损,0.754597,0.754597,74.3505,74.3505,0.765433,0.765433,76.6731,76.6731,0.772884,58.1865,0.880977,74.0364,0.7467601890575538,0.8512649844495183,0.715913625060748,0.8324647924118129,0.01712254518874463,0.07165995914647225,0.7780304374094823,limitup_probability_engine:model_v1,0.754597,0.754597,historical_bin_blend_v1,77.0888,70.6435,83.306,67.5,77.114,77.114,2,0.5690171449320871,0.0680499244844073,0.2495163897761601,0.1134165408073455,5508.0,0.7076978939724038,0.010574125748734375,0.012759170653907415,131.0,0.023783587509077705,329.0,0.059731299927378356,3235341964.0785704,0.5652099103001914,0.0,0.12,0.12,up,high,1.0,ehx:model_v1,0.031086004050319097,0.07960419779583205,0.11332868530700317,0.1470531728181743,0.19557136656368812,2.7955661352043584,2.9345462236431543,3.0352,3.139306161128729,3.2953751027344484,0.98829186007614,0.98829186007614,4,1,1,0.0994889660953574,0.0,0.0,,,,,,,,
3,20260612,20260612,20260615,20260616,603065.SH,宿迁联盛,化工原料,13.6,1,TOP10,1,1,TOP10,市价竞价,≤14.06,市价竞价,≤14.06,冲高至14.81附近优先兑现；强势放量再看15.32；弱于13.40止损,冲高至14.81附近优先兑现；强势放量再看15.32；弱于13.40止损,市价竞价,≤14.06,市价竞价,≤14.06,冲高至14.81附近优先兑现；强势放量再看15.32；弱于13.40止损,冲高至14.81附近优先兑现；强势放量再看15.32；弱于13.40止损,0.678477,0.678477,81.2832,81.2832,0.661769,0.661769,77.3299,77.3299,0.963432,63.903,0.81609,81.4653,0.8584792684396086,0.9286993836737228,0.5956314865622935,0.896341757216219,0.018476494999644388,0.07647837544984655,0.8160017250953,limitup_probability_engine:model_v1,0.889965,0.678477,historical_bin_blend_v1,73.6953,64.9236,88.7699,67.5,76.1571,76.1571,3,0.5690171449320871,0.0680499244844073,0.2495163897761601,0.1134165408073455,5508.0,0.7076978939724038,0.010574125748734375,0.012759170653907415,131.0,0.023783587509077705,329.0,0.059731299927378356,3235341964.0785704,0.5652099103001914,0.0,0.08886636382169279,0.08886636382169279,up,high,1.0,ehx:model_v1,0.0028944405834581133,0.051412634328971064,0.08513712184014219,0.11886160935131332,0.16737980309682715,13.639421415886016,14.317498021108335,14.808582547975023,15.316511080140142,16.077963308969675,0.9556918602652009,0.9556918602652009,1,23,23,0.637012399621234,0.0,0.0,,,,,,,,
4,20260612,20260612,20260615,20260616,600567.SH,山鹰国际,造纸,1.44,1,TOP10,1,1,TOP10,市价竞价,≤1.50,市价竞价,≤1.50,冲高至1.61附近优先兑现；强势放量再看1.67；弱于1.42止损,冲高至1.61附近优先兑现；强势放量再看1.67；弱于1.42止损,市价竞价,≤1.50,市价竞价,≤1.50,冲高至1.61附近优先兑现；强势放量再看1.67；弱于1.42止损,冲高至1.61附近优先兑现；强势放量再看1.67；弱于1.42止损,0.735068,0.735068,73.5693,73.5693,0.765433,0.765433,75.7454,75.7454,0.707785,56.2335,0.880977,70.9442,0.7467601890575538,0.8512649844495183,0.715913625060748,0.8324647924118129,0.01712254518874463,0.07165995914647225,0.7780304374094823,limitup_probability_engine:model_v1,0.735068,0.735068,historical_bin_blend_v1,75.6046,70.6435,82.4024,67.5,76.044,76.044,4,0.5690171449320871,0.0680499244844073,0.2495163897761601,0.1134165408073455,5508.0,0.7076978939724038,0.010574125748734375,0.012759170653907415,131.0,0.023783587509077705,329.0,0.059731299927378356,3235341964.0785704,0.5652099103001914,0.0,0.12,0.12,up,high,1.0,ehx:model_v1,0.031086004050319097,0.07960419779583205,0.11332868530700317,0.1470531728181743,0.19557136656368812,1.4854668762709504,1.559316074555772,1.6128,1.6681184029613911,1.7510480250692273,0.98829186007614,0.98829186007614,5,2,2,0.0622450641092867,0.0,0.0,,,,,,,,
5,20260612,20260612,20260615,20260616,002088.SZ,鲁阳节能,矿物制品,8.95,1,TOP10,1,1,TOP10,市价竞价,≤9.26,市价竞价,≤9.26,冲高至9.67附近优先兑现；强势放量再看10.00；弱于8.82止损,冲高至9.67附近优先兑现；强势放量再看10.00；弱于8.82止损,市价竞价,≤9.26,市价竞价,≤9.26,冲高至9.67附近优先兑现；强势放量再看10.00；弱于8.82止损,冲高至9.67附近优先兑现；强势放量再看10.00；弱于8.82止损,0.66068,0.66068,77.471,77.471,0.713404,0.713404,76.8952,76.8952,0.890934,61.728,0.779026,77.095,0.8504347937638538,0.8796633699060997,0.6852802908068996,0.9126347018900398,0.02647741029273737,0.08601756650191031,0.8257832982791046,limitup_probability_engine:model_v1,0.862585,0.66068,historical_bin_blend_v1,71.15,75.11,85.613,67.5,74.6143,74.6143,5,0.5690171449320871,0.0680499244844073,0.2495163897761601,0.1134165408073455,5508.0,0.7076978939724038,0.010574125748734375,0.012759170653907415,131.0,0.023783587509077705,329.0,0.059731299927378356,3235341964.0785704,0.5652099103001914,0.0,0.08037643355810888,0.08037643355810888,up,high,1.0,ehx:model_v1,-0.004933151259011795,0.043585042486501156,0.07730952999767228,0.1110340175088434,0.15955221125435723,8.905957020889824,9.348711952997666,9.669369080345072,10.00102462050439,10.49822025781479,0.9389707284819561,0.9389707284819561,3,41,41,0.4805141973143013,0.0,0.0,,,,,,,,
6,20260612,20260612,20260615,20260616,600497.SH,驰宏锌锗,铅锌,9.28,1,TOP10,1,1,TOP10,市价竞价,≤9.62,市价竞价,≤9.62,冲高至10.03附近优先兑现；强势放量再看10.37；弱于9.14止损,冲高至10.03附近优先兑现；强势放量再看10.37；弱于9.14止损,市价竞价,≤9.62,市价竞价,≤9.62,冲高至10.03附近优先兑现；强势放量再看10.37；弱于9.14止损,冲高至10.03附近优先兑现；强势放量再看10.37；弱于9.14止损,0.676625,0.676625,72.8635,72.8635,0.78226,0.78226,73.911,73.911,0.334646,45.0394,0.779026,50.6713,0.8231879764463831,0.9141284148927822,0.7836459063878025,0.8409909882381473,0.020368511988298414,0.0801953655118274,0.8387080203121022,limitup_probability_engine:model_v1,0.676625,0.676625,historical_bin_blend_v1,72.4577,78.1084,81.5442,67.5,74.5471,74.5471,6,0.5690171449320871,0.0680499244844073,0.2495163897761601,0.1134165408073455,5508.0,0.7076978939724038,0.010574125748734375,0.012759170653907415,131.0,0.023783587509077705,329.0,0.059731299927378356,3235341964.0785704,0.5652099103001914,0.0,0.08037643355810888,0.08037643355810888,up,high,1.0,ehx:model_v1,-0.004933151259011795,0.043585042486501156,0.07730952999767228,0.1110340175088434,0.15955221125435723,9.234333089816488,9.69341306411378,10.025893303419249,10.369777483606788,10.885305474024722,0.9389707284819561,0.9389707284819561,6,42,42,0.1751813878457915,0.0,0.0,,,,,,,,
7,20260612,20260612,20260615,20260616,001696.SZ,宗申动力,摩托车,22.84,1,TOP10,1,1,TOP10,限价竞价,≤23.52,限价竞价,≤23.52,冲高至24.50附近优先兑现；强势放量再看25.34；弱于22.50止损,冲高至24.50附近优先兑现；强势放量再看25.34；弱于22.50止损,限价竞价,≤23.52,限价竞价,≤23.52,冲高至24.50附近优先兑现；强势放量再看25.34；弱于22.50止损,冲高至24.50附近优先兑现；强势放量再看25.34；弱于22.50止损,0.728048,0.728048,74.6502,74.6502,0.617458,0.617458,72.7105,72.7105,0.75563,57.6689,0.747492,69.8797,0.71622728805818,0.8597103194414829,0.5617288046886479,0.8879886116529044,0.004578386034084042,0.07488780188039766,0.7392376236008312,limitup_probability_engine:model_v1,0.728048,0.728048,historical_bin_blend_v1,75.3593,48.0446,82.1814,67.5,74.3114,74.3114,7,0.5690171449320871,0.0680499244844073,0.2495163897761601,0.1134165408073455,5508.0,0.7076978939724038,0.010574125748734375,0.012759170653907415,131.0,0.023783587509077705,329.0,0.059731299927378356,3235341964.0785704,0.5652099103001914,0.0,0.07267821803691644,0.07267821803691644,up,high,1.0,ehx:model_v1,-0.012084152577673007,0.036434041167839944,0.07015852867901107,0.1038830161901822,0.152401209935696,22.565658883501197,23.687498652489325,24.499970499963172,25.34030981088775,26.600089879845516,0.919717009878865,0.919717009878865,7,47,47,0.4295006453872383,0.0,0.0,,,,,,,,
8,20260612,20260612,20260615,20260616,601696.SH,中银证券,证券,11.54,1,TOP10,1,1,TOP10,市价竞价,≤11.99,市价竞价,≤11.99,冲高至12.80附近优先兑现；强势放量再看13.24；弱于11.37止损,冲高至12.80附近优先兑现；强势放量再看13.24；弱于11.37止损,市价竞价,≤11.99,市价竞价,≤11.99,冲高至12.80附近优先兑现；强势放量再看13.24；弱于11.37止损,冲高至12.80附近优先兑现；强势放量再看13.24；弱于11.37止损,0.676905,0.676905,74.9645,74.9645,0.696795,0.696795,72.5042,72.5042,0.790675,58.7202,0.868308,74.5647,0.6281462947993239,0.857940178660401,0.6232900801646892,0.8403517913025732,0.014461984380803022,0.07590348230413282,0.7162115365814218,limitup_probability_engine:model_v1,0.676905,0.676905,historical_bin_blend_v1,71.6765,64.4105,81.9352,67.5,73.2681,73.2681,8,0.5690171449320871,0.0680499244844073,0.2495163897761601,0.1134165408073455,5508.0,0.7076978939724038,0.010574125748734375,0.012759170653907415,131.0,0.023783587509077705,329.0,0.059731299927378356,3235341964.0785704,0.5652099103001914,0.0,0.10914679426209829,0.10914679426209829,up,high,1.0,ehx:model_v1,0.021348384683815086,0.06986657842932803,0.10359106594049916,0.1373155534516703,0.1858337471971841,11.789008870680927,12.375093197150713,12.799554005784612,13.238573652497214,13.896722323658276,0.9808589461173116,0.9808589461173116,8,7,7,0.18901095479621,0.0,0.0,,,,,,,,
9,20260612,20260612,20260615,20260616,600229.SH,城市传媒,出版业,6.19,1,TOP10,1,1,TOP10,市价竞价,≤6.41,市价竞价,≤6.41,冲高至6.73附近优先兑现；强势放量再看6.96；弱于6.10止损,冲高至6.73附近优先兑现；强势放量再看6.96；弱于6.10止损,市价竞价,≤6.41,市价竞价,≤6.41,冲高至6.73附近优先兑现；强势放量再看6.96；弱于6.10止损,冲高至6.73附近优先兑现；强势放量再看6.96；弱于6.10止损,0.674394,0.674394,71.6218,71.6218,0.708685,0.708685,71.3282,71.3282,0.423209,47.6963,0.80199,55.4522,0.7820444233797366,0.8757211621361655,0.668697505553424,0.8100122511714798,0.0316483431398079,0.08590470968176346,0.7813220527810271,limitup_probability_engine:model_v1,0.674394,0.674394,historical_bin_blend_v1,71.4815,74.4781,79.4948,67.5,73.2333,73.2333,9,0.5690171449320871,0.0680499244844073,0.2495163897761601,0.1134165408073455,5508.0,0.7076978939724038,0.010574125748734375,0.012759170653907415,131.0,0.023783587509077705,329.0,0.059731299927378356,3235341964.0785704,0.5652099103001914,0.0,0.08735704985750038,0.08735704985750038,up,high,1.0,ehx:model_v1,0.0015073456770228338,0.050025539422535785,0.08375002693370691,0.11747451444487803,0.16599270819039186,6.199337505396997,6.507534283113021,6.730740138617929,6.961601866802748,7.307694213157924,0.9530329370140552,0.9530329370140552,9,33,33,0.166315989109757,0.0,0.0,,,,,,,,
10,20260612,20260612,20260615,20260616,601958.SH,金钼股份,小金属,25.52,1,TOP10,1,1,TOP10,只观察不追,≤25.78,只观察不追,≤25.78,冲高至27.04附近优先兑现；强势放量再看27.97；弱于25.14止损,冲高至27.04附近优先兑现；强势放量再看27.97；弱于25.14止损,只观察不追,≤25.78,只观察不追,≤25.78,冲高至27.04附近优先兑现；强势放量再看27.97；弱于25.14止损,冲高至27.04附近优先兑现；强势放量再看27.97；弱于25.14止损,0.724463,0.724463,72.519,72.519,0.541783,0.541783,69.6842,69.6842,0.792612,58.7784,0.666096,69.6015,0.6952567661241635,0.81679402395853,0.48850528873040017,0.8502134415417196,0.001079157460138034,0.053328480055259295,0.6971967125469476,limitup_probability_engine:model_v1,0.724463,0.724463,historical_bin_blend_v1,74.1155,38.5133,79.5984,67.5,72.3105,72.3105,10,0.5690171449320871,0.0680499244844073,0.2495163897761601,0.1134165408073455,5508.0,0.7076978939724038,0.010574125748734375,0.012759170653907415,131.0,0.023783587509077705,329.0,0.059731299927378356,3235341964.0785704,0.5652099103001914,0.0,0.05947780759750818,0.05947780759750818,up,high,1.0,ehx:model_v1,-0.024466528858846134,0.024051664886666817,0.05777615239783794,0.09150063990900906,0.1400188336545229,24.903190545454102,26.141239461854504,27.037873649888407,27.96526203641104,29.355540213732887,0.8760618500433464,0.8760618500433464,10,81,81,0.6279717150315438,0.0,0.0,,,,,,,,
